,zebra,kangaroo,lion,penguin,turtle,raccoon,tiger,monkey,camel,deer,rhinoceros,cow,giraffe,elephant,fish,sheep,leopard,dog,squirrel,horse,alligator,bear,donkey,ant,bird,bee,cat,rabbit,frog,goat
83761,-0.026884114,-0.019802788,0.0060032965,0.0066386424,0.009126619,-0.0007605211,0.024322743,0.018534625,-0.0060680956,-0.013382564,0.017353397,-0.017441658,-0.026083743,-0.028885687,-0.011962612,-0.015702857,-0.035865836,0.019757397,-0.0022363893,-0.018562565,-0.0016808416,-0.013118294,-0.0012232587,-0.019902624,0.00038218885,0.023386165,0.027999898,0.009352423,0.003095708,-0.009293749
83809,0.014067021,0.016472207,-0.0120620625,0.015071058,0.014920838,0.008613882,0.002362594,-0.0020351582,-0.0009622584,-0.015384947,-0.020181676,-0.003146745,-0.023644174,-0.012063511,0.0035004131,-0.017494103,-0.03770955,0.0041391472,-0.013698441,-0.0025950368,-0.0067870966,-0.0067198835,-0.02752587,0.0145678995,0.0017316961,-0.015492275,-0.03674134,0.004740978,0.000244402,-0.011163768
83810,0.0066407123,0.007649714,0.006527727,0.016958948,-0.023956895,0.034980148,-0.009678197,-0.007160101,0.022309428,0.018475272,0.007934078,-0.00017659955,0.0077267676,0.0029182683,-0.006943872,0.00016265176,-0.021374183,-0.0574585,-0.0050619314,0.0098346155,0.0051542753,-0.018719694,-0.010339594,0.007176474,0.025217095,0.0035726083,-0.025177404,-0.004387395,0.025085056,0.022463268
83854,0.01123548,-0.005065042,-0.009288077,-0.018467775,0.035667066,-0.00086038746,-0.009176772,-0.004819318,0.0042816293,0.0048357905,-0.022255577,0.01851015,-0.028700257,-0.00617568,-0.0041275662,-0.024265468,-0.013592758,0.01751273,-0.010416592,0.009101615,0.0058625564,0.0018940225,0.0065896474,0.0017181132,0.01603983,0.0099426685,-0.04577294,0.005722299,0.012452501,-0.013022608
83855,0.0042553307,-0.011759237,-0.0035480044,0.023081472,-0.005448021,-0.009868952,-0.01626727,-0.01344689,0.036662593,0.010365323,-0.007122524,0.0023593775,-0.03423885,0.01903596,0.025204798,0.02341103,0.008256397,0.0026929423,-0.018580103,-0.010214894,0.0028943878,-0.016884524,-0.0044016265,-0.0006872161,-0.00049912493,-0.0016850177,-0.025038248,0.0017182897,-0.037953265,-0.01179586
83898,0.017315159,0.0069189514,-0.026622443,0.019580366,0.02281653,0.021267727,-0.023818044,-0.009355397,0.021702928,-0.0053414614,-0.02676523,-0.013838972,-0.0430508,-0.01857468,-0.006824422,-0.01457307,-0.027860358,0.005897401,0.021112457,0.0015053808,-0.018790554,-0.00096688606,0.00021877458,-0.011336145,0.024138851,-0.029982999,-0.0028121236,0.024089335,-0.0072137844,-0.019032191
83899,-0.0037673244,-0.0041326755,-0.046517093,0.010112925,-0.0014067497,-0.0041414076,-0.017030507,0.017542731,0.021995211,-0.028386205,-0.0024052963,-0.0034786474,0.008355561,-0.015643625,0.024234703,-0.01240616,0.0051551233,-0.00472376,-0.0051260325,0.028328976,-0.0051426385,-0.0030810826,-0.0013115207,-0.011861585,0.003174618,-0.00091862,0.02960133,-0.0013882661,0.036435034,-0.024347946
83940,0.0037009392,0.009846932,0.014055669,-0.00578128,0.016030468,0.0017963046,-0.015949098,0.0026188751,0.0074901306,-0.002225158,0.004606638,-0.0096239215,-0.0029983108,0.0021295298,-0.018100198,-0.034457073,-0.018371904,-0.026357373,0.005376822,0.0023825576,-0.01594088,0.005185677,0.008788749,0.013694243,0.009131023,0.026928915,-0.022727469,-0.0009643888,-0.043833163,-0.011077973
83941,-0.0083907815,0.0050855037,0.0010691691,0.017353795,-0.010054876,-0.028989077,0.018360863,0.020554373,0.019323323,-0.021519683,-0.00396412,-0.026492743,-0.01934759,0.03735498,0.018251395,-0.00643669,0.012073499,0.031371977,-0.022887567,-0.009140099,0.0011589215,0.018281,0.013969618,0.027395286,0.00075899326,0.016645648,-0.006682982,0.0020500387,-0.024605224,-0.00118198
83982,-0.005718878,-0.01662045,-0.003920779,-0.002415632,0.0050933645,0.0040189964,-0.010946694,0.0013134424,0.031605653,0.003429509,0.014922994,0.0026022138,0.004080092,0.0041273567,0.0024671343,-0.0128460005,-0.010720715,-0.010528207,0.027844781,0.017951988,0.00016400563,0.0012940118,0.010320003,0.029259259,-0.0049664606,-0.0025315795,-0.033251483,-0.012022771,0.03429029,0.021132218
