,zebra,kangaroo,lion,penguin,turtle,raccoon,tiger,monkey,camel,deer,rhinoceros,cow,giraffe,elephant,fish,sheep,leopard,dog,squirrel,horse,alligator,bear,donkey,ant,bird,bee,cat,rabbit,frog,goat
94440,0.02193288,0.017563136,-0.003932932,0.0072998046,0.009786925,-0.024311176,0.006716769,-0.00876353,-0.012775944,0.006673003,0.012452344,0.022685416,0.0073601645,-0.037802655,-0.0030983295,0.017401652,-0.011423811,0.0070231506,0.027104685,-0.009474584,0.008005322,0.00029377858,0.00091263215,-0.036893018,0.00090027164,-0.013367961,-0.014465957,-0.0011655152,-0.005434982,0.005787213
94499,-0.032841194,-0.0150535265,-0.01450409,-0.0034438018,-0.0029032864,0.00704879,-0.048831295,0.0062182224,0.012464126,0.015396426,-0.009410857,0.006957905,-0.0026772877,0.014796392,-0.025770763,0.03452997,-0.023844115,-0.016636208,-0.0096987225,0.0019912845,0.010841128,0.013346049,0.026160598,0.02060203,-0.013042275,-0.002868078,0.0018393627,0.018330535,-0.0003297838,0.024149276
98537,0.039030787,0.022218356,0.05805408,0.03636561,0.012113457,0.037635747,0.024362156,0.012454486,0.008920188,0.026158163,-0.013011563,0.026821487,-0.042934656,0.06524248,0.048543517,0.014112395,0.003309415,0.034805674,0.0071857744,0.001023937,0.018736266,0.058722634,0.0020584464,0.04665968,0.02733343,0.024243854,-0.015311851,0.03667729,-0.030278573,0.0439582
98539,-0.010239958,0.0006803127,0.024810404,-0.0045786104,-0.0019351452,0.034095366,-0.0044059074,0.014847186,0.014420352,-0.006829735,-0.00015258603,-0.008141236,-0.0062230155,-0.014379676,0.008016889,0.004119215,-0.014151846,-0.00063142186,0.02256464,0.017466178,0.016616331,0.020156551,-0.01768596,0.03153563,-0.0011561388,0.020411165,-0.03976811,-0.005797636,-0.03523043,-0.0065823724
98596,-0.013090812,0.010663785,0.027578702,-0.009092925,-0.016562099,0.01376117,-0.01193926,0.004846037,-0.0033177293,-0.0014647053,0.024846775,0.0053519798,-0.022285832,0.026339501,0.015825227,-5.3857762e-05,-0.021547562,-0.0052849823,-0.027099239,0.018888587,0.0045595313,0.0369008,0.0060622473,0.0129735945,0.000423572,0.006949181,-0.02019062,0.0037671505,-0.032769866,0.034252603
98597,0.005683646,0.0156068215,-0.0029258989,-0.024435109,0.02256126,0.011815309,0.013664789,0.025293732,0.022791503,-0.006165618,0.024784831,0.017102225,0.041642595,0.0072942623,0.00021508725,-0.00010075079,-0.011369896,-0.015635872,-0.018012175,0.007210035,-0.01640903,0.016039642,-0.006741783,-0.015030552,-0.00029321015,0.014721211,-0.0010487996,-0.018492667,-0.02505274,0.00996669
98654,0.014661283,0.017420618,0.07341095,0.004939744,-0.001759937,0.015543446,-0.017081283,0.032121837,0.013527864,0.008964542,-0.013906002,0.01857029,-0.036390606,0.037513178,0.046943206,1.887201e-05,0.017697642,0.052047726,0.03573901,0.024635816,0.0016663239,0.017621225,0.013201858,0.04269712,0.014965533,0.027066438,-0.004533527,0.022453554,-0.033932388,0.014427784
98655,0.032621708,0.012870886,-0.031603508,-0.011977936,-0.02028186,0.015638495,0.003035116,0.019063652,-0.018815108,-0.012252699,0.017768933,-0.00025730053,0.017538328,-0.0014342577,-0.0014420027,0.010714675,0.011538953,-6.977903e-05,0.0035168892,-0.020091182,0.01828189,-0.007092277,0.010665794,-0.043327864,0.0100647,-0.011030652,-0.042754736,-0.009128355,0.0109425625,0.009885232
98656,0.0099768825,0.0012174248,0.00988309,-0.024863964,0.02659902,-0.011681028,0.005666997,-0.012815569,-0.03778732,0.015212526,0.053382497,0.0018798005,0.013840574,0.02085679,-0.013573906,-0.021478489,0.013900913,-0.0086656045,-0.010211235,0.0020430342,-0.015138173,0.0054833447,0.009806397,0.003235399,-0.017657151,0.022085456,0.01733307,-0.026043827,0.010065765,0.00132633
98712,-0.0057355626,-0.010666277,0.001018138,-0.003980216,-0.01966693,-0.021183992,-0.004678699,0.028378822,0.004203331,0.01217667,0.013196087,0.010847736,-0.014297984,-0.0134435715,0.0011875592,-0.007401142,0.018203987,-0.0065116673,0.011319585,-0.0042501152,0.0061990307,0.00042626573,-0.0026096236,0.0345982,-0.00782771,0.027311668,0.02253444,-0.0021058852,-0.017880317,-0.0072208834
98713,-0.022519523,-0.00727033,-0.005570146,-0.012975868,-0.0025655387,-0.0031243537,-0.026627861,0.004648442,0.0043070107,0.05044202,0.0057982355,-0.0012865287,-0.015014197,-0.0017141906,-0.030290008,0.012523331,-0.039041847,-0.014355787,-0.0108444765,0.010471344,0.011020693,-0.012751814,0.02834586,0.0037032266,0.005378012,-0.0053841434,-0.02289215,0.020532332,0.010556079,0.014109704
98714,-0.0108905705,-0.017652972,-0.020766972,-0.011605285,0.0032130822,-0.0062838118,-0.020313388,0.0099129835,-0.03474692,-0.0067573935,-0.0071813515,0.0032397546,0.005960314,0.01875093,-0.00374296,0.003517448,0.0057248264,0.00037295977,-0.021495277,-0.003929596,-0.007048149,0.0006433458,-0.009178014,-0.022710709,-0.008907721,0.032976396,-0.011729953,0.011999299,-0.01915,0.01087956
98715,-0.0019051131,0.01460038,-0.005648259,0.003757953,-0.0033259646,0.0010733934,0.021419534,0.023201093,-0.016359447,0.011679708,0.013996049,0.014190975,-0.030082518,-0.011802739,0.012906115,-0.0021831628,0.018851042,0.0013684751,-0.0037436548,-0.012477082,0.019531287,0.00017587561,0.03895169,-0.009536461,-0.022721088,0.010304055,0.0048749857,-0.0020080493,0.018352019,0.020392187
98716,-0.026885422,-0.010599141,-4.3880814e-07,0.0045069675,0.017765084,0.01518974,-0.02441016,-0.010895655,-0.011450429,-0.027704855,0.0043786955,0.017918391,-0.012492877,-0.0207941,0.0015339978,0.01782511,-0.030522391,0.009770609,-0.019966448,-0.0020288492,0.0037209552,3.1459767e-05,0.03066674,0.008785016,-0.01226855,-0.01202814,-0.007052573,-0.026884323,-0.00073714927,-0.001354468
98717,0.0019168729,0.041115586,-0.0099342745,0.0073260423,0.009228923,0.010425385,-0.023302471,0.02856086,-0.02056898,0.03332916,0.01285793,0.029333914,-0.0010494227,0.013731889,0.013863488,0.011813622,0.026675234,0.0173837,-0.0041491566,0.023501672,-0.011922191,0.0073636374,-0.004286516,-0.025664004,0.00721406,-0.0136596905,-0.020276502,-0.0022064666,0.008977532,-0.006061479
98774,-0.013821074,0.009790808,-0.0050796797,-0.0048623006,-0.0022009064,-0.0021349273,-0.0064136176,0.032541167,0.0067606084,-0.01712473,0.01633074,0.032812458,0.015634382,0.015165147,0.013496465,-0.021878907,0.023788502,0.004134255,-0.04797512,-0.02060229,-0.022073118,0.0028525814,0.0002774025,0.016219081,0.0037622575,0.017340088,-0.03532178,0.0009265747,-0.0073371506,0.009347976
98775,-0.019588765,-0.011808232,-0.003288812,-0.016113766,0.02122046,-0.0016017709,-0.04809302,-0.0058450066,0.037468582,-0.0014247637,0.015645577,0.027477344,0.012340367,-0.00021113572,-0.006770078,-0.01544555,0.011183939,0.023158884,-0.009734189,-0.001815437,0.004720555,0.00337822,0.007872739,0.024597868,0.010354173,0.0063338396,-0.014097248,0.014302283,-0.009865577,0.009917634
98776,0.0058523086,-0.017229505,-0.0025356282,-0.009430788,0.024203965,-0.012684804,-0.013043244,-0.0009792168,0.003841352,-0.009848726,0.00828753,0.004538251,-0.0027619984,-0.0085641,-0.00387045,0.025099322,-0.022521203,0.0020639552,-0.009854912,-0.0045730122,-0.014918965,-0.0111281155,0.021992683,0.005821647,0.010260203,0.0067530083,0.030162698,0.008080531,-0.011624468,0.014319748
98777,-0.0071770973,-0.012747958,-0.011186914,-0.005299675,-0.0024604048,-0.011257025,0.008092143,-0.00055242545,0.044836506,-0.001430851,0.0018204749,0.0004970345,-0.03434199,0.0119508775,-0.0016196283,-0.014917596,-0.014129954,0.0054095574,-0.02157253,0.012391462,-0.010586325,0.040278997,0.024338298,-0.007714827,0.018602794,0.023263844,-0.004816133,-0.0078865485,-0.040662646,0.045799226
98778,0.009419573,-0.011730015,0.0356835,-0.028037434,0.016768197,-0.025137583,-0.04134431,0.0044167377,0.013346125,0.015809186,-0.011565704,0.019778132,-0.021543985,0.020499062,0.021790149,-0.020504719,-0.02052364,0.0181424,-0.032997552,-0.008845051,-0.00090525794,0.022139475,0.012417137,-0.0031278294,0.014464296,0.0016587935,-0.02790024,-0.017364666,0.036426555,0.009573643
