,zebra,kangaroo,lion,penguin,turtle,raccoon,tiger,monkey,camel,deer,rhinoceros,cow,giraffe,elephant,fish,sheep,leopard,dog,squirrel,horse,alligator,bear,donkey,ant,bird,bee,cat,rabbit,frog,goat
95848,0.0025778105,-0.0033617874,-0.009480462,-0.008080949,-0.010500261,-0.031434033,0.017714685,-0.012606305,0.02366262,-0.0137964925,0.021058962,0.005420949,0.03962188,-0.017180787,-0.014085782,0.031837206,0.015467114,0.0012601916,-0.026346317,0.011869545,-0.015437047,0.025275907,0.03585122,0.0027259775,-0.0074841976,-0.020124068,-0.0059323288,0.0035470382,-0.023095027,-0.015121971
95966,0.01808055,-0.006100383,0.00034646285,-0.011055187,0.0012097065,-0.02013011,-0.002586386,0.0055916137,0.0008231255,-0.014667668,0.01743049,0.017038757,-0.0065039094,-0.0029343404,0.0037113484,-0.01149385,-0.002646774,-0.030026028,-0.016586518,0.0039080023,-0.0031211032,-0.007805196,-0.0021316179,0.023962855,-0.0017308149,0.02051374,-0.016803268,-0.0037526346,0.017331017,0.037114944
95967,-0.032826345,-0.008804502,-0.016109798,0.0022855506,0.0029741738,-0.034961235,-0.0046397285,-0.0012853593,0.0105496375,-0.0033714902,0.004800187,-0.018308312,0.0065355715,-0.0072023575,-0.0013754988,-0.014313739,-0.0005999369,-0.0022641679,0.001810383,-0.018816737,-0.0014971556,0.0041965144,0.0061094402,-0.0011509266,-0.0032914423,0.02025426,-0.011393766,0.009518419,-0.007076888,0.01738117
96026,-0.036217086,-0.013525669,0.0018592005,0.007460259,-0.009948253,0.0067085237,-0.021546597,0.0026217226,0.012146804,0.03797401,0.0034326396,-0.01080965,-0.015426646,-0.03152072,-0.0048530307,-0.0069773667,-0.042923126,0.01113788,0.0028554741,-0.006369712,0.02447669,-0.00017689604,0.023220943,0.0020313752,0.009780105,0.015185515,-0.015132364,0.0015731457,-0.010812526,0.006055849
99697,-0.020057915,-0.0133086955,-0.008446219,0.0121199265,-0.01303972,-0.0107514635,0.0104627935,0.0069796615,0.0064879544,0.009316072,0.011992126,0.008096001,-0.0024599468,-0.0034849097,0.018497782,-0.012222747,-0.02668465,0.017925883,0.02236108,0.0035654416,0.017423298,0.026347222,-0.021506196,-0.011236571,0.02846655,-0.017554121,-0.0073099826,-0.0062449593,0.022825064,-0.023527233
99755,-0.03884952,-0.0016652364,0.016740995,-0.027949246,0.046861216,-0.022955954,0.0013486805,-0.011153963,0.006450869,-0.017695364,-0.0290654,0.02028494,-0.02315251,-0.012882918,0.02348263,-0.009205601,-0.023151485,0.0025472871,-0.014521062,-0.006730754,-0.008683839,-0.035928436,-0.0018122377,0.03825517,-0.0022810167,-0.0041120346,0.0028910218,0.020902976,0.012526336,0.0021687734
99756,-0.023586577,0.0007624288,0.0059338487,-0.0051390314,0.00909431,-0.018398896,-0.018559912,-0.020090023,-0.006588375,0.0026120627,-0.0048780837,-0.008125595,-0.025358854,0.03526925,-7.371356e-05,0.010998121,0.031501193,0.018237226,-0.016910652,0.000730101,0.011066041,0.032810397,0.024029503,-0.014817529,0.033726502,-0.00441882,0.004062207,-0.0058203675,0.0046390523,0.008401593
99757,-0.0027508615,0.008131172,0.017744426,0.002425662,-0.030276373,-0.008234715,-0.016767161,-0.015139721,0.018950006,-0.015218261,-0.0026407584,-0.00050707144,-0.0072512194,0.01290769,-0.014701736,0.023338554,0.034224056,-0.0026979207,-0.032594122,-0.020873718,0.009323564,0.024397671,0.03792676,0.0009003387,-0.033117753,0.006178022,0.01114548,0.017451301,-0.030671844,0.009014516
99815,-0.021150475,0.012908153,-0.0033819342,-0.017616944,0.0006695793,-0.02107349,0.013338987,0.0034713715,-0.02236859,0.004081212,-0.002406704,0.015652431,0.01955617,-0.003062294,0.042830035,0.028437197,-0.010469404,0.003944774,0.0032452454,0.016524618,-0.0071404413,0.005314885,-0.002454588,0.013647149,-0.032704946,0.014662377,0.016426237,-0.0010964175,0.027694946,0.017826833
99816,-0.0018447135,-0.0094876215,-0.0124050705,-0.013521041,0.018125573,-0.042065788,-0.018786646,0.01761513,0.007914132,0.008920177,0.025623163,-0.017713174,0.023391927,0.027482107,0.022670781,0.0030436337,0.00926374,0.028781151,-0.038048647,0.002383178,-0.008850024,-0.027659379,-0.0030058504,0.0062038614,-0.010124393,0.017687887,-0.013385784,-0.0018736505,0.013418246,-0.015670277
99817,-0.008164046,-0.017561477,0.023241743,-0.016967531,-0.006731242,-0.011395666,-0.017962402,0.013053994,0.006780481,-0.014587191,-0.031680766,0.005279478,-0.0117408745,0.009666443,-0.009054972,0.005370725,-0.013293515,0.0034503955,0.02775787,-0.016382465,0.022077978,0.018593607,0.003019036,-0.003258287,0.0036336107,0.034745995,-0.0174164,-0.0039308933,-0.008574474,-0.019502291
99874,-0.014064029,0.029732263,0.0050690137,-0.0015842073,0.00040585487,-0.009918281,-0.010803732,-0.008124612,0.0077424026,-0.011510764,0.017840218,-0.0011555515,-0.0010398958,-0.0014372183,-0.012951366,-0.007763716,-0.004711071,0.021674091,0.020994097,-0.004288476,0.008734978,-0.0016784001,-0.01599062,-0.021448016,0.013815366,0.0014696013,-0.008974388,-0.0024390097,-0.034899995,-0.014526737
99875,0.013292533,-0.0027250529,-0.00707359,-0.006397041,-0.014647608,-0.05256285,-0.00089805323,0.005992863,-0.025445143,0.016273754,0.0018755643,0.01669293,-0.03652339,-0.021707496,0.0034186095,-0.00081742555,-0.0042038667,-0.012256011,-0.007868914,-0.009347908,0.009652783,-0.017998092,0.018767742,-0.008859724,-0.015398362,0.0074795536,-0.0073969937,0.01544452,0.005542046,0.008276637
99876,0.018065356,-0.020361988,-0.013388096,-0.017068025,8.1642844e-05,-0.015294819,-0.011568752,-0.022134861,-0.016219668,0.014773698,-0.012401353,0.008033245,0.005056837,-0.0049093193,0.012257448,0.008552749,-0.017408604,0.02323507,0.0039925384,-0.009972383,0.0019793992,0.0042990004,0.008270148,0.029474465,0.005902134,-0.0230423,0.010281431,-0.011345677,0.01507285,0.0035003591
99877,-0.010739214,-0.036153603,-0.01020988,0.0024478969,-0.0013292133,0.0017292245,-0.012305464,-0.00707164,0.02562379,0.0075210915,-0.0034242242,-0.00095528614,-0.007601366,-0.012443662,0.022103792,-0.005419003,0.0017556138,0.020644216,0.013555226,-0.00017616898,-0.012161832,0.005689081,-0.0003810193,-0.0047551524,0.028775563,0.005449002,-0.014506474,-0.01942946,-0.029725127,-0.0128913475
99936,0.015876064,0.0004867042,0.0040159323,0.022613727,0.026313799,0.014978149,-0.011127486,0.007893928,-0.008208533,-0.01798708,-0.0070300885,0.003375669,0.011978265,-0.014183864,-0.016908394,0.02249433,0.0162545,0.02694597,0.0037819033,0.0016087638,0.0065839007,-0.0022916659,0.024914004,-0.01879563,0.014251974,-0.0045863814,-0.024875417,0.0060977917,-0.0013124007,0.016416581
99937,-0.007885062,0.00057351775,0.002800662,-0.007813796,-0.017436601,-0.017253034,-0.03573788,0.023439951,0.014723347,0.0040532765,-0.0089459745,0.0022053353,-0.023973377,-0.01643845,0.011994948,-0.01321284,-0.0073569617,0.019880002,-0.016876994,0.0020212752,0.010710706,0.018463094,-0.015258624,0.019814232,-0.0071005137,0.016005555,-0.04340815,-0.0018162742,-0.021497639,-0.028009756
99997,-0.026092306,0.028852912,-0.0056793913,0.011224565,-0.025556045,0.02144667,0.0045986413,0.023098737,0.022043241,0.031739425,-0.0078069526,0.00288026,3.935024e-05,0.03924879,0.010963698,-0.017708858,0.01718013,0.008521504,0.01116391,0.018789688,0.024165578,0.024426304,0.010076241,0.036899157,-0.009299723,0.0044449107,-0.009504563,-0.0012469694,-0.019858649,-0.007320117
99998,-0.0021169193,0.0010027353,0.028263701,0.00085464795,-0.02628784,-0.025985122,-0.0013235584,0.007521977,-0.01989354,-0.0050108167,-0.018785117,-0.008985581,-0.018089833,0.013777971,-0.0013482874,-0.023780666,-0.0026930186,0.015017613,0.018047703,-0.0153643405,0.008463853,0.026005983,-0.01068266,-0.0068611186,-0.00018427428,-0.0008064611,-0.043048028,-0.00760207,0.015125346,-0.02348359
