,zebra,kangaroo,lion,penguin,turtle,raccoon,tiger,monkey,camel,deer,rhinoceros,cow,giraffe,elephant,fish,sheep,leopard,dog,squirrel,horse,alligator,bear,donkey,ant,bird,bee,cat,rabbit,frog,goat
80089,0.029533414,-0.020792048,0.012312577,0.016863681,0.017382152,0.0141601255,-0.011581763,0.00012653864,0.030699305,0.026891569,-0.017299665,0.011645402,-0.031961694,0.007367657,0.024484368,-0.010901309,-0.03753549,0.044264,-0.028661212,-0.0061757527,0.011850719,0.0051220786,0.0037009446,-0.0046369573,-0.018456358,-0.0028363417,-0.007210014,0.0006375487,-0.013354645,-0.007003892
80090,0.004073164,-0.018870955,0.014696982,0.012490059,0.0048841885,0.021620318,-0.02587449,-0.00907585,-0.0049741096,-0.029192075,-0.0016984772,-0.010962269,-0.00661377,0.0032033597,-0.01652107,-0.017627338,-0.00303107,-0.020031512,-0.016370984,-0.005045852,0.008202749,0.003530809,0.01161477,-0.03244171,0.014227557,-0.0032966605,-0.010270535,0.009250555,-0.012908809,-0.005587851
80127,0.0070394096,-0.04683447,0.015829658,0.0011599639,0.051386878,0.012849264,-0.027526317,0.029179148,-0.0015026716,-0.021774186,0.03510433,-0.0092531005,0.006400559,-0.012918976,0.007008655,0.0031771716,0.004903724,-0.03213508,-0.017254375,-0.0011564292,0.0122003695,-0.029467264,0.020458639,-0.022714496,0.015049472,-0.0025427416,-0.012310865,2.7950853e-05,-0.01431187,-0.016689895
80128,0.016868604,-0.016277084,0.007116994,-0.005377621,0.039131586,0.012977235,-0.014274669,0.0071670185,0.028953193,0.0194934,-0.005551566,-0.017641792,-0.035345517,-0.026476605,0.013070852,-0.014149912,0.018303374,0.01360723,0.016584558,-0.006128753,-0.006501853,0.013228658,-0.010583508,0.0014818193,0.031101875,0.0046254457,0.012162324,0.008399823,-0.019867959,-0.009820965
80166,0.015020025,-0.02500465,-0.017011171,0.006269938,0.024356937,0.029518133,0.012942467,0.03751219,0.036288623,-0.0005208614,0.0051558535,0.0062417104,-0.008075133,0.041140463,-0.009286935,-0.0043180184,-0.0075697633,0.04356274,-0.023622118,-0.015985573,0.009850147,0.016733814,0.001786488,0.022178238,-0.0051267506,0.0056606787,-0.027091667,0.017820746,0.009823506,-0.017338334
80167,0.03305332,-0.017346015,-0.0063028373,0.03399565,-0.011395439,-0.012116604,-0.021173878,0.028420174,0.005706443,0.0068302904,-0.029155372,0.001964826,0.0019998115,0.027741335,0.020341529,-0.004549545,-0.012688804,0.014502227,-0.03567759,-0.011916974,0.012994814,0.019038226,-0.015795626,-0.0041902503,-0.004465773,0.024550846,-0.026986964,-0.0162827,-0.0291095,0.015427967
80201,0.0011733713,-0.0035524007,-0.005720192,-0.00817581,0.03167859,0.035861287,0.019154148,0.011489875,0.04180709,-0.004891133,0.0007377121,0.019703088,0.02830112,0.046695128,0.00725712,0.0044447226,0.014334057,0.02195195,-0.015006569,0.0002932114,0.022891207,0.049370956,0.009366215,0.033724144,0.00847284,0.005934755,-0.02288404,0.036312982,-0.023012092,0.0104276715
80202,0.038865235,-0.041285824,-0.015044126,0.011470447,0.029846951,0.0054231,-0.049448118,0.021251356,0.020980472,-0.019953238,-0.021597154,0.004533014,0.0029045222,0.046488643,0.009043555,-0.016851977,0.0046557933,0.04069044,-0.025907725,-0.0133493645,0.03580806,0.04160305,0.0036039408,0.030035717,0.0057608453,0.02813716,-0.026442656,0.003920183,-0.017572442,0.01989995
80203,0.032776594,-0.018502137,0.016459905,-0.0055340505,0.003884719,0.012957096,-0.05674125,0.00948596,0.028751507,0.0013464979,-0.03139635,-0.02793002,-0.006623794,0.059728537,0.04387099,-0.020246351,-0.024798835,-0.012278293,0.005192209,-0.009213009,-0.004953573,0.0054351445,0.0056505986,0.021839084,-0.00904492,0.029332044,-0.012287284,0.014226914,-0.029876554,0.022838702
80237,0.032846604,-0.031681985,-0.020328173,-0.00031384206,0.022129998,0.006627787,-0.030530823,0.02696001,0.023335956,-1.9906709e-05,-0.03350095,-0.005358066,-0.028184421,0.06775676,0.02045858,-0.014312856,0.011941562,0.045258835,-0.013839991,-0.011656952,0.04216456,0.041683156,-0.002450797,0.04867682,0.0012225223,0.032917436,-0.02729825,0.016877232,-0.0018435441,0.027333645
80238,0.037246402,-0.035470024,-0.0001744299,-0.0056589074,0.032125022,-0.017338632,-0.03216608,0.013401493,0.0285517,0.015800929,0.029134566,-0.014817161,-0.0040096454,0.052164722,0.0028036472,0.010417513,-0.008255517,-0.004711118,-0.008825872,0.0017448742,0.014150229,0.027377428,-0.0050404877,-0.013550974,0.001520394,0.02511145,0.013520568,0.010156883,0.021511072,0.010129859
84262,-0.018335504,0.016952485,0.013144843,0.0012780646,-0.0071935416,0.02802463,0.009316104,0.0049532554,0.013480056,-0.0066495296,0.02181709,0.0048106243,0.004814027,0.029348848,-0.011710665,0.0010913552,0.012860421,-0.03390315,0.026500762,-0.00827354,-0.012570128,-0.012795283,0.01738033,-0.003489156,-0.0026360734,-0.008205705,-0.009062348,-0.005727362,0.013146383,-0.0022954463
84298,0.0043682153,-0.0065523186,0.018736519,0.0027775492,0.01849815,-0.024420837,-0.005661137,0.021376789,-0.004360212,-0.03592621,0.004724512,0.008986743,-0.026938887,-0.023518378,0.0056502353,-0.0053161494,-0.005106356,0.030599361,0.00058288156,-0.017731283,0.0006100421,0.00873523,0.026537672,-0.0043837433,0.0019383958,0.02052443,-0.008776256,0.0052907043,0.009405444,0.003694684
84299,-0.011789073,-0.0033016268,0.013250279,-0.00960271,0.034901317,-0.009806988,-0.0364321,-0.008912667,0.004089585,0.004423655,-0.025901554,0.005014288,-0.03037368,-0.012194884,0.018283319,-0.019474035,0.01681758,0.07086574,-0.023633385,-0.0054698284,0.0103108,0.005487319,0.025880905,0.02118414,0.023253819,0.0075048287,-0.0103253145,0.011739832,-0.01194851,0.014419486
84303,0.005942511,0.011484762,0.005815413,0.020939382,0.0003970346,0.0016469549,-0.01604238,0.008121225,0.004209828,0.011483406,0.015722474,0.0030001255,-0.024441766,0.00067421823,0.03469428,-0.025982084,-0.0034876373,0.00640309,-0.0021057485,-0.0008416278,-0.0049707578,0.044132557,0.008076289,-0.022784537,0.007277774,0.021519057,-0.0042796494,0.021657653,-0.014737141,0.017785685
84336,-0.0042610574,0.024297843,-0.0015227998,0.0015191779,0.040249825,0.017882135,-0.023218656,0.01805131,0.009563816,-0.013004857,-0.0042087752,0.0043352684,-0.025541784,-0.0077965376,-0.014991066,-0.007571919,0.0030721955,0.019937618,-0.008302563,0.0005635693,0.022417083,-0.005960041,0.018929975,-0.0060988753,0.012828109,0.011740323,-0.010923959,0.008751122,-0.0025036044,0.003192418
84337,0.011046837,-0.004224824,-0.0034926177,0.0026147168,0.0401485,-0.0024839293,-0.020922916,0.011819382,0.021196121,0.018572167,-0.007731911,-0.007117782,-0.018610382,-0.0056371354,0.021875894,-0.028392186,-0.0015785769,0.041376624,-0.0016960083,-0.01323418,0.026045846,0.0248349,0.0066767693,0.0043743523,-0.0049352185,0.021477481,-0.0055863746,0.010077507,-0.009366847,-0.010764074
84341,0.033326212,0.019264737,0.01871007,-0.0146186715,0.0072162263,-0.029733181,-0.012523337,0.02795592,0.01901784,0.013431962,0.026020616,-0.030200481,-0.015487325,0.015110445,-0.0043460657,0.019194243,-0.0122910375,0.0005322381,-0.014379834,-0.018397065,0.0040053115,0.014715995,-0.00084165734,0.015252235,0.0061083375,-0.007216348,-0.017824652,0.009016913,-0.0522352,0.009606276
84374,-0.020793939,0.009944849,-0.012106446,-0.011185861,0.032725055,0.008710503,0.016996795,-0.0055355546,-0.0031872962,-0.009368542,-0.018919436,-0.008741849,-0.017083073,0.0056679496,-0.020434031,0.0009072659,-0.0006640094,-0.0048659137,-0.0122392895,-0.013054906,-0.0010488894,-0.0033119384,0.0017119668,0.03868772,-0.004498775,-0.013279513,-0.0063163354,-0.00910988,-0.030585818,-0.0055613653
84375,-0.008959404,-0.009263968,-0.017903507,0.011829902,0.02842431,0.007213281,-0.0016929578,0.013738192,0.031577554,0.0028235111,-0.013832168,0.004222295,-0.012756729,0.023106964,0.0059269113,-0.0056414604,-0.0019153948,0.05416961,-0.0022460774,0.0014829106,0.029590758,0.02780311,-0.0095149465,0.011270662,-0.03602651,0.0018698374,0.011426888,-0.009755637,-0.0009338244,-0.025761927
84376,0.0025661828,-0.037007686,-0.013760689,0.0014333144,0.027212484,0.015764631,0.0038133052,0.023088567,0.03186709,0.00032214946,-0.016695248,0.004740398,-0.0070570842,0.01160727,-0.012546421,-0.0033172332,0.011786875,0.007874817,-0.002482828,-0.012848247,0.008076983,0.041366275,-0.012862402,-0.0053308574,-0.012083448,0.009355478,-0.015910162,0.0028744128,-0.002926451,-0.007847487
84377,0.026505427,0.016064906,-0.016927626,0.0043282737,-0.006758496,0.010551092,-0.0425934,0.015179484,-0.010965839,0.014733989,-0.019023543,-0.00476152,0.002183254,0.028213978,0.03184195,0.014527378,0.0053810305,-0.013324379,-0.03382708,-0.016572213,0.008914436,0.027855033,0.010575141,0.0039383722,0.004993554,-0.024693778,0.0074099917,-0.0015933737,-0.022624731,0.009113759
84380,0.016919948,0.0027517981,0.019515896,0.03134994,-0.004668783,0.0009887703,-0.009684966,0.011884064,-0.0019168566,0.0018458109,0.0011613244,0.014310996,-0.018922979,0.020311723,0.004984541,-0.022408864,-0.030562207,0.031121595,-0.01368918,0.0040147677,-0.01971042,0.012228156,0.009127335,-0.012203273,0.020999374,-0.0008129536,0.016923713,0.011433867,0.0023279388,-0.012171541
84413,0.011556211,-0.031175137,-0.029211009,0.0056668115,0.02400242,0.02717737,0.031145448,0.025161294,0.022986932,0.0032512525,-0.02075553,-0.0034951111,-0.019093825,0.014230933,-0.0049536773,-0.0032351788,-0.016969958,0.024365952,-0.009204441,-0.0074027316,0.016292447,0.011541092,0.01406921,0.039022017,0.009089167,0.0006404805,0.005295658,0.01911481,-0.024810763,-0.0023760707
84414,0.03494099,-0.016738838,-0.00497821,0.030486576,-0.0057911505,0.02278778,-0.042530995,0.0187291,-0.0058036135,-0.009226291,-0.025900135,-0.013167012,-0.012333789,0.025886098,0.017160496,-0.011502307,-0.009311391,0.01361429,-0.022152415,-0.006585577,0.018597284,0.013550754,-0.0006631925,0.016696943,0.0018170014,0.010196349,0.00047332048,0.01673509,-0.01810334,0.01461839
84415,0.046856936,-0.022213444,0.0070135924,0.031353004,0.0047878935,0.0030539583,-0.036424533,0.0069812215,0.03452748,0.0134839965,-0.026521945,-0.015925257,-0.014480535,0.04750226,0.022537552,-0.004879379,-0.04164427,0.009691872,0.028545635,-0.023711221,0.020072764,0.034039404,-0.005283363,0.06016914,0.041561674,0.021253878,-0.006723452,0.03526145,-0.011922829,0.014270754
