,zebra,kangaroo,lion,penguin,turtle,raccoon,tiger,monkey,camel,deer,rhinoceros,cow,giraffe,elephant,fish,sheep,leopard,dog,squirrel,horse,alligator,bear,donkey,ant,bird,bee,cat,rabbit,frog,goat
163815,0.033577774,0.020213164,-0.002670538,0.01396514,0.025921,0.017790647,0.0300157,0.04361327,0.027757974,0.058504764,0.03510299,0.04852277,-0.039997626,0.033518214,0.040791877,0.041386586,0.047415596,0.021223513,-0.001445725,0.029424317,0.044353485,0.040492542,0.010707162,0.04204111,0.020777343,0.043169096,0.016382527,0.043292973,0.06906442,0.006555412
163816,0.025480738,0.026145285,0.0016517484,0.02714285,0.045646314,0.014508333,0.003926441,0.023761364,0.045113955,0.04046568,0.011737567,0.026194146,-0.015602856,0.035764035,0.049242765,-0.019313406,0.0285099,0.008841881,-0.0026709202,0.027880184,0.06643022,0.015874555,0.004354481,0.031013243,0.0034879595,0.048652202,0.021021515,0.016839867,0.05998067,0.016867796
163861,0.03147811,0.003349511,0.040228132,0.05204756,0.011801579,-7.0507325e-05,-0.013382376,0.04003897,0.04945815,0.04364193,0.031356048,0.015382588,-0.018059433,-0.006254964,0.04499891,0.013548193,0.0623963,0.039622564,0.018078562,0.021172695,0.04737124,0.06755213,0.0035907794,0.043226253,0.035493974,0.05638017,0.026575461,0.006083243,0.04758479,0.025394062
163862,0.023100512,0.032017786,0.03382081,-0.0020078204,-0.0108065335,0.016963022,0.013978208,0.007310225,0.022627264,0.05710943,0.024000758,0.0024768463,-0.008475863,0.03189567,0.04816856,0.013665306,0.028853709,0.024552139,-0.0014818857,0.034576137,0.029305419,-0.003814864,0.010491826,-0.010133355,0.027476797,0.029165594,-0.002714934,0.046595547,0.015270453,0.034151427
163863,0.009168153,0.029237986,0.009933651,0.01193852,0.0063290806,0.015885679,0.0034313512,0.02303035,-0.02934134,-0.021288631,0.016953843,0.00864464,-0.0085291555,-0.010876395,0.018862896,-0.004071388,-0.021270929,0.011494245,0.00043963347,-0.0223853,0.007427083,-0.034914345,-0.018343482,0.008804194,-0.01626783,0.0076461434,0.033507075,-0.0027297556,-0.035428688,-0.0057669072
163910,0.0326502,0.01771927,0.024909565,-0.0032047958,0.047442425,0.005683119,-0.00030280356,0.051037554,0.059354216,0.01723273,0.017016666,0.013405745,-0.031210335,-0.0097799795,0.028416088,0.009450063,0.05074802,0.054748062,0.037202034,0.017407028,0.05624525,0.0034204468,0.029880734,0.011159494,0.006942974,0.04601647,0.035520013,0.014449351,0.014998709,0.035779472
163911,0.06184497,0.02275751,0.05799647,0.03310282,0.014486555,0.020530332,0.048746545,0.05063559,0.039232124,0.07844085,0.041204553,0.020295465,0.012986559,0.023040133,0.09597369,0.02926599,0.04393324,0.04893778,-0.010018728,0.051157877,0.058225576,0.045465264,0.04380055,0.04378866,0.08612028,0.07037628,0.02070905,0.048646223,0.06962844,0.029978909
164066,0.023437396,0.016353311,0.017272135,0.009134668,0.016076477,0.050732423,0.019591095,0.027191594,0.01963839,0.054630373,0.04228894,0.015441142,0.023926983,0.039677843,0.035925895,-0.010007155,0.03898078,0.042213727,-0.012164067,0.05563568,0.04035722,0.025363306,0.036762733,0.04994529,0.051953632,0.043502312,0.008348763,0.03081912,0.043758187,0.009427625
164067,-0.012127002,-0.0006506944,-0.0012939073,-0.00946612,-0.014339977,0.018315589,0.02209085,-0.0001879676,0.0066911355,0.0020449199,-0.010517026,0.019831358,-0.002799501,0.007248976,-0.01535726,0.00033615934,-0.015619653,-0.013828032,-0.023508266,0.008884699,0.0012567706,0.0006449055,-0.016527409,0.025691682,0.00033869315,0.033118766,0.017137395,0.012566376,-0.019625923,-0.00094901025
164118,-0.016767198,-0.036391977,-0.049129825,-0.012195633,-0.029166223,-0.009355575,-0.038632587,-0.02727019,-0.005518166,-0.02563977,-0.03239611,-0.008066629,-0.030193703,0.010110352,-0.040231884,-0.012144963,-0.03984348,-0.011991809,-0.02764417,-0.010708527,0.0011143755,0.0040764315,-0.021596054,-0.009444696,-0.047218442,-0.019142756,-0.008717173,-0.012337596,-0.030311475,-0.015467637
164119,-0.0046364404,0.007135745,0.05443949,0.019492878,0.020062326,0.027687512,0.022197602,0.022382282,0.009008492,0.02658953,0.025377112,0.034688484,0.002657747,0.024936894,0.013975758,-0.003722525,0.0074573844,0.026480615,0.01307111,0.035630345,0.030168355,0.023395723,0.020705698,0.024853488,0.022157716,0.0154453665,0.032639593,0.030671904,0.023626385,0.045450713
164120,0.021613842,0.050122842,0.049759243,0.04804044,0.021782076,0.05438951,0.022406464,0.03832678,0.01973078,0.03453001,0.012843587,0.024536131,0.025694909,0.019603193,0.045174435,0.035880294,0.038798053,0.02681081,0.023399405,0.04655345,0.0013423776,0.037763402,0.02231999,0.051317513,0.07663319,0.049748,0.063197955,0.037236888,0.04131918,0.04814084
164173,-0.005179619,-0.019524967,0.004519034,0.02601321,0.005781353,0.011424468,-0.014119693,0.030717993,-0.006196665,-0.0024669343,-0.016388198,0.0061888467,0.035825275,-0.010177427,-0.0017391803,-0.018364005,0.015069582,0.02417323,-0.0040059886,-0.01585771,0.0062504564,-0.055384785,0.003686716,-0.0062686764,-0.006219912,0.0038100055,-0.024257833,-0.030294271,0.017049776,-0.0062469263
164174,0.035833713,0.052538116,0.048540935,0.04478855,0.017560415,0.06888213,0.05917533,0.09213543,0.038868602,0.06268817,0.025506513,0.047863632,0.041567195,0.021697035,0.053452015,0.02407038,0.012959265,0.08524082,0.01158628,0.03838858,0.030023819,0.036708515,0.058999583,0.022542745,0.09053395,0.07524612,0.0683625,0.038104203,0.0266065,0.020467512
164227,0.028502645,0.013787895,0.027543126,0.026493927,0.005016236,0.05273013,0.02053116,0.04052586,0.04656737,0.039222512,0.02461587,0.0011885623,-0.017165665,0.026249776,0.05644228,0.025041632,0.008646934,0.075685896,0.05371872,0.045018297,0.06269323,0.061501306,-0.0042118845,0.04784995,0.051208604,0.06911356,0.032487232,0.015688341,0.007846309,0.023093442
