,zebra,kangaroo,lion,penguin,turtle,raccoon,tiger,monkey,camel,deer,rhinoceros,cow,giraffe,elephant,fish,sheep,leopard,dog,squirrel,horse,alligator,bear,donkey,ant,bird,bee,cat,rabbit,frog,goat
179347,0.012332267,-0.0155705735,0.023944309,-0.0027813623,0.0036250975,0.00028969967,-0.008132868,-0.010749191,-0.0004144824,0.03481524,0.030983536,0.018903684,0.04166439,-0.011475879,-0.021099439,0.01574901,0.022204258,0.0028751644,0.016834615,-0.012712295,0.017479852,0.016050791,0.011304847,0.029341191,-0.0065704472,0.039429914,0.030659242,0.0057084546,-0.007304037,0.016870588
179455,0.011066817,0.014282364,0.00094887364,-0.009051618,0.01586436,0.04170674,0.0043070405,0.013637875,-0.028325737,-0.0047058132,0.030681424,-0.013576313,-0.012127365,0.01465324,0.01782874,-0.023602203,-0.019689938,0.014908946,-0.014685723,0.015229154,-0.003154315,-0.0014673868,0.02150394,-0.002946144,-0.00070281606,-0.00034072934,0.008864692,-0.013353168,-0.0046959277,-0.016619863
179509,0.011134602,-0.045994923,0.014371447,-0.018051572,-0.008870223,-0.02195976,0.0038461033,0.0033282277,-0.024699017,-0.005203504,-0.022783736,-0.015602621,-0.013051715,0.0011651233,0.007832276,-0.0050767967,0.0006836339,-0.0020361387,-0.037596676,-0.0059770844,0.0044300086,-0.0058603953,0.0071577434,0.0144851245,0.00866686,-0.010327623,0.0027666476,-0.00012472294,0.011772164,-0.018543942
179510,-0.014815236,-0.0083655445,-0.025900617,0.008150349,0.0036165447,0.009260051,0.04644089,0.015005223,-0.0083899,0.00011877964,-0.021977702,-0.013781312,0.044424724,0.00683845,0.03634529,-0.0030340904,0.006304942,-0.008945181,0.023894051,0.007813413,0.0078825625,-0.005772198,0.009219677,0.0026064182,-0.0036039136,0.008606172,0.026900753,-0.018203355,0.015797028,-0.0050716717
179511,-0.034153648,0.03084056,-0.022892356,-0.010899515,0.012591131,0.014217723,0.01036145,-0.0016633543,-0.006661271,0.04406385,0.0072989427,0.0108808465,0.030457333,0.019474214,-0.00013261475,0.011724938,-0.011638309,-0.010647018,0.019541578,0.0125156455,0.0057922676,0.02398705,-0.03817411,-0.021104783,0.020123908,0.001331044,0.010593253,-0.0030353123,-0.015667384,0.011810802
182388,-0.002505759,0.0018876275,0.006289115,0.0045478237,-0.009359049,-0.024149084,-0.037013795,-0.024370834,0.013735756,-0.017216457,-0.022660317,-0.0046769623,0.00019557045,-0.010495107,0.032801207,0.031494975,-0.0062515433,0.0054618265,0.018798897,0.013708107,0.01674449,-0.008923983,-0.010482973,0.0028170112,-0.06660227,-0.007556598,-0.013306218,-0.015405382,-0.0077229715,0.001373223
182652,-0.0018344348,-0.009458935,-0.02093616,0.006078962,0.01884576,-0.015553643,-0.022485623,0.0038591654,-0.02821409,-0.010440647,-0.014374937,-0.0003929118,0.032734472,1.331636e-05,-0.009661892,-0.0011455106,0.01680388,0.0086451555,-0.02012752,-0.020570854,0.00792062,0.0022494758,0.0015623961,0.0080528455,0.027011521,-0.033014733,0.0021202678,0.0075079612,-0.0018492466,-0.029045397
182653,-0.009566401,-0.005881719,0.0042511504,0.0044274055,0.011904019,0.0064383536,-0.0154416105,0.01553034,0.0066278926,0.005129564,0.014620717,-0.022263683,0.009171206,0.013282504,-0.011030597,0.0109911375,-0.0028674349,-0.0119804805,0.015257963,-0.012764487,0.00036703097,0.016383912,-0.007220534,-0.0018389327,-0.009829062,-0.017755553,-0.018776176,0.0031591624,0.02702793,-0.021054557
182654,0.016132424,-0.0059416145,0.009927559,-0.013467294,0.003025043,0.017918186,-0.0008889865,0.015416284,0.0011519678,-0.010013435,0.012730281,0.018295804,-0.016861035,-0.011775985,0.016117947,-0.016229356,0.0034170179,-0.012308911,0.036348183,-0.016351951,0.027342461,-0.024841258,0.017215643,0.001270967,-0.011292343,0.011162923,-0.010882101,0.0077557825,0.0094247125,0.0021475076
182706,-0.013899722,-0.0063505783,-0.023804815,-0.022726744,0.007734856,-0.039842382,-0.038028914,-0.0034351833,-0.0224356,-0.0059859534,-0.025304385,-0.006510914,0.010504249,-0.05943707,-0.014432512,-0.0074396958,0.0034190852,-0.014555779,-0.021564357,0.007249471,0.0027777804,-0.015854264,0.009935756,0.011449375,0.005229121,0.003122448,-0.018311625,-0.023814103,0.012298301,-0.022471165
182707,0.011780302,-0.011894539,0.025427809,-0.0067504924,-0.009021253,-0.013241441,-0.0145614585,-0.013099185,-0.011061479,0.0008016334,0.032066673,-0.01506999,-0.0061717904,-0.014372596,0.010709266,0.012284563,-0.011567171,-0.00021875028,-0.0014055445,0.006046431,0.0036343683,-0.002997334,-0.0075968704,0.018899335,0.0114425635,-0.0072878352,0.0069681797,0.011801478,0.012676847,0.014018469
182708,0.00974748,0.015516032,0.0016229078,-0.016853388,-0.0022214905,-0.023188127,-0.009751804,0.0050733513,-0.01313214,0.008544448,-0.022144267,-0.0142771425,0.00073217973,0.0124387145,-0.0029042866,0.018195394,0.007268174,-0.017999869,0.0047301375,0.0033657355,-0.026179599,0.02205558,-0.013460203,-0.0067011644,0.005086361,0.016480597,0.014970924,0.013909593,-0.0003812099,2.7973205e-05
182760,-0.0103640305,0.010499428,-0.006390523,-0.0081379,-0.023622835,-0.0032945413,0.003991448,0.00754622,-0.023690479,-0.011166346,-0.024477443,-0.023997018,0.0063681393,-0.020065129,-0.004430089,-0.021740286,-0.012532012,0.012039387,-0.005511991,-0.0008967047,0.0011959221,-0.013482113,0.0033232353,-0.026696116,0.004934384,0.012060675,-0.029575454,-0.023845905,-0.0042283386,0.00083248893
182761,0.025013348,-0.0016072486,0.011630948,0.010847189,-0.018149983,0.019269602,-0.012740691,0.0016895925,-0.008360435,0.01630816,0.007028524,0.0015376186,-0.019484613,0.027384402,0.0035583552,0.02152036,0.000712537,0.0029448394,-0.010651673,-0.0037753016,0.03537902,-0.009908049,0.023125285,0.018374896,0.017755495,0.0061650747,-0.026217379,0.016347392,0.012629543,0.010388168
182762,-0.0061545284,0.01680096,0.022210876,-0.021980442,0.015546307,0.012560786,-0.0064859507,-0.010470972,-0.012126115,0.03647407,0.030657401,-0.025140747,0.008604324,0.025926186,-0.00654413,-0.006708467,-0.0031892732,0.0040655923,-0.0017723859,-0.011436169,0.0012855114,-0.011977048,-0.026842363,0.011937191,0.022656942,0.001192992,-0.006617438,-0.0014506625,0.0039961557,0.016807873
182814,0.021942532,-0.003837413,0.008800186,-0.0029418317,0.025270322,0.010360286,0.019673921,0.020784315,-0.021842161,0.0020280331,0.0069177574,-0.0047550253,-0.015501198,0.00023089722,-0.0072842184,0.008807443,0.019447422,0.030890027,-0.004494549,0.003598557,0.00016000921,0.0013235441,-0.009939253,0.020486934,-0.015599658,-0.0158876,-0.00020173099,0.0020721455,0.003358707,0.031696353
182815,0.005044705,-0.012280979,-0.0021113493,-0.01773793,-0.010685161,0.011188909,0.0121877575,0.006922273,-0.034671172,0.028478414,-0.000114854425,0.008821247,0.008510597,0.036506873,0.009709674,-0.03338629,0.027458915,-0.0005859932,-0.0019457141,0.0140323015,0.016766865,-0.013357327,0.012476795,-0.023399023,0.00013035598,0.03092686,0.017687893,0.040089887,-0.018002657,0.002828422
182816,0.002099867,-0.004024438,-0.0086579705,-0.015462857,-0.01625012,0.016520996,-0.0013707286,0.009814932,-0.025340088,0.008489785,0.0009154196,-0.033801552,-0.018598055,0.012815871,-0.025730481,-0.029149957,-0.021341354,0.013624729,0.004055537,0.0059580617,0.0038489755,-0.017949605,-0.005847567,0.012201312,-0.004368612,-0.005650275,0.0017510721,-0.001476257,0.030381888,-0.024322597
182817,0.008147328,0.034922257,-0.012955033,0.03043057,0.026742995,0.012754687,0.023324816,0.007899996,0.011071208,-0.0035663198,0.023953518,-0.01193722,-0.014308006,0.03267091,-0.011099252,0.03001065,0.017712556,-0.0020334069,0.0048292805,-0.0010216883,0.010954414,0.008487533,0.02361005,0.023347072,-0.020910002,0.03220761,0.03517865,-0.0119298315,-0.011203252,-0.021609912
182868,0.014465093,0.00076094334,0.023000404,0.0059088394,-0.012313764,-0.004113491,-0.0036208993,-0.004558373,-0.011165357,-0.008233145,-0.00085179385,-0.012902987,-0.024921192,-0.02066906,-0.024917608,0.025989084,0.023529371,0.025102878,-1.8781362e-05,0.029382711,0.028218372,0.025960913,0.0028431711,0.0064667366,0.024182947,0.008034473,0.025376283,0.0060345805,0.007303454,-0.022920934
182869,-0.01418892,-0.02743268,0.02201433,-0.011492695,-0.03421392,0.007037955,0.0005975077,-0.0018860754,-0.0356098,0.006250661,-0.021959862,-0.005093211,-0.02179715,-0.0024425893,0.012237559,-0.013335395,0.030673347,0.00330306,-0.018942816,0.020911934,0.007908646,0.0027415182,-0.026854856,-9.885357e-05,-0.012025688,0.015008996,-0.00043568262,0.0003897765,0.019687386,0.008710584
