,cat,camel,bird,giraffe,monkey,donkey,kangaroo,rhinoceros,elephant,raccoon,horse,cow,leopard,rabbit,goat,lion,turtle,zebra,dog,frog,sheep,tiger,ant,alligator,deer,penguin,bear,squirrel,fish,bee
202453,0.03288728,0.03611796,0.013369081,-0.025312768,0.031083843,-0.015094545,-0.009533017,-0.016710138,-0.01566284,0.014708452,0.01570359,0.012632407,-0.007686538,0.0019368404,0.038069848,0.016784847,0.02292461,0.024990415,-0.014325261,0.005149227,0.0073726536,0.042614143,0.033792924,0.0103024095,-0.0054456987,0.004062217,0.02216509,0.034860194,0.0075483373,-0.0032665122
202454,0.018699812,0.045211595,-0.021296894,-0.020360358,0.033540472,-0.006894359,-0.0020577458,0.009370233,-0.029125584,-0.017380318,0.001755565,0.0070606936,0.012463082,0.006682273,0.014097623,0.02881259,-0.0065019527,0.0044981246,-0.009036018,0.0011487352,0.02826144,0.026610889,0.0005525863,0.01758428,-0.014201916,0.01829616,0.025485678,0.01581513,0.018047245,0.028660754
205476,0.014548253,-0.0008682539,0.0049114595,0.010356284,0.023559935,-0.0065839863,0.0060419873,0.012485039,0.007030427,0.008731787,0.002676348,0.010858186,-0.00634587,0.0056821187,-0.020381613,0.022762878,0.026420435,0.0062562856,0.007336036,0.040595677,-0.0032985348,0.010847409,-0.02580586,0.005089399,-0.0116903195,0.022502085,-0.018106224,-0.025422579,-0.015523907,-0.0024456677
205477,0.028438007,-0.0011566434,0.015457931,0.037194546,0.0065642004,0.007965911,0.059376735,0.0038103156,0.018855294,0.023923539,0.0051639522,-0.0022109277,0.024742609,0.011569251,-0.009339953,-0.0119996285,0.024360633,0.025585808,0.015678791,-0.0032328048,0.04019004,0.00824084,-0.011035409,0.02031799,0.027668083,0.007783544,0.018341636,0.030903062,0.006565494,0.009975961
205478,0.004436977,0.05088249,0.013041916,0.037126485,0.006243825,0.0023131585,0.014742818,-0.0017835168,0.011533036,0.002387141,0.005003693,-0.0012736144,0.006150734,0.019921869,0.0057396716,0.021371042,0.00950295,-0.01109854,0.035359364,0.013648644,0.015652297,-0.008055315,0.008276087,-0.012110687,-0.01041598,0.022152113,-0.0061411667,0.030998126,0.014509793,-0.029786272
205528,0.022814365,0.012022984,0.045779977,0.042094994,0.04166733,0.013071825,-0.002761188,-0.0026227732,0.02329485,0.020379767,0.028817052,0.02219179,0.031258333,0.03113016,0.0009317367,0.013686865,0.038828474,-0.0045395857,0.013834464,0.02723631,0.032154836,0.026654402,0.0029825305,0.007937056,0.014147057,0.03209956,0.013756554,0.043770794,0.03643008,0.028585352
205529,0.041842263,0.061189428,0.041331936,0.044699553,0.044840354,0.00036669523,0.062916465,0.017950105,0.030841842,0.016965924,0.06349269,0.047299072,0.016416298,0.018108755,0.0043528043,0.050349038,0.023979405,0.021799007,0.048701394,0.020222293,0.047997307,0.037235983,0.027068486,0.0125480555,0.01641676,0.06456541,0.034960307,0.0620532,0.030228702,0.052534018
205530,-0.003884236,0.037561655,0.0002615368,0.027420813,0.030634614,0.0057918853,0.04169719,0.035755914,-0.019934088,0.03810071,0.008063384,0.035841882,0.035911683,0.020038387,-0.012266983,0.046843767,0.004346248,-0.002031246,0.019904032,0.010125483,0.025229825,0.03065521,0.0054240166,0.0028491998,0.033284184,-0.016556764,0.019215964,0.012494024,0.036949154,0.05025499
205531,0.011680474,0.06353273,-0.011519223,0.032064244,0.015010367,0.013811577,0.026274204,0.0128191905,0.0070718504,0.008217779,0.0077182497,-0.002418637,0.042381287,0.00023365114,-0.0096081365,0.027533209,-0.026802136,-0.027426198,0.03139122,0.04356575,-0.017180772,0.0038001735,0.010174642,0.008358608,0.0054051927,0.044417392,-0.0062327012,-0.0006328073,0.006964911,0.008831906
205580,0.021516705,0.034318037,0.015239653,0.05938335,0.014695667,0.016679337,0.05791077,0.01757663,0.013016378,0.048109356,0.015799737,0.041393574,0.05698051,0.0201071,0.0021842744,0.030093445,0.018880544,0.04524686,0.037896298,0.03235359,0.036536396,0.016321413,0.017272543,0.019833367,0.053708654,0.040758263,0.04854368,0.040463448,0.013943848,0.0423781
