,bear,deer,giraffe,donkey,camel,raccoon,sheep,frog,dog,bird,squirrel,lion,rabbit,alligator,leopard,kangaroo,turtle,zebra,penguin,cat,monkey,horse,tiger,elephant,rhinoceros,cow,fish,ant,goat,bee
28904,0.0765503,0.043784246,0.011713487,-0.022003585,0.056626838,0.067471705,0.09140725,0.03857842,-0.00024460503,0.0148517,0.043961514,0.041854203,0.0288276,0.042913813,0.028128356,0.025262302,0.060409635,0.034297246,-0.0066397116,0.05328445,0.027620202,0.057077836,0.06336345,0.019789167,0.040465448,0.06772437,0.048321847,0.011340719,0.0465665,-0.030079171
28943,0.045354623,0.041879624,0.01671234,-0.030164415,0.039587185,0.037958045,0.047777396,0.0065499227,-0.014899428,-0.003256607,0.025367744,0.030188901,-0.00065939705,0.021847205,0.012685227,0.022768402,0.021393055,0.011907183,0.018878533,0.050708074,0.011648945,0.010713801,0.0050580488,0.017934583,0.024457345,0.035415653,0.049419094,0.00084962294,0.027556961,-0.040105093
28944,0.037651088,0.033637088,0.026696399,-0.007953193,0.037175372,0.04614229,0.04990886,-0.0003668076,-0.016503157,-0.011520314,0.018413847,0.02147021,0.0051172944,0.04296166,0.011067848,0.021288536,0.035338342,0.012283795,-0.0025439623,0.010556765,0.012227431,0.009333785,0.044492394,0.005741945,0.04630683,0.026201563,0.023878986,0.011107446,0.01402273,-0.030790718
28982,-0.026585527,0.031581324,0.009901346,-0.00022712008,0.0038425606,-0.0035864562,0.0008938859,0.03280017,-0.033880223,-0.016569858,-0.0009917006,0.012116034,-0.01728746,-0.0005236582,-0.02865707,0.01965874,-0.01637915,-0.0069847195,0.032280922,-0.0059067844,-0.012209428,0.014290632,0.012681165,0.0031521786,0.0016718624,0.0055301986,0.02011591,-0.0020861954,0.01151893,-0.005017193
32299,0.018990545,-0.026929507,0.008001007,-0.012987771,0.0012621563,0.027834265,0.015290105,-0.013155781,0.0020902033,0.008726324,0.021161532,0.011029686,-0.00043288805,-0.0069902986,0.008543479,0.031121297,-0.003909726,-0.0017209224,-0.0072888606,0.025974996,0.0099501675,-0.005688501,0.0015901392,-0.016485436,0.008029385,0.031119587,0.021643303,0.014665454,0.0017024792,-0.010647219
32300,0.020727322,0.0051593403,0.01352426,-0.01584919,0.020148344,0.02191479,0.03997658,-0.0006370402,0.008931111,0.00090668723,0.028506085,0.014778311,0.017551454,0.021328472,0.02638998,0.0029417204,0.03065843,0.039090876,-0.013398357,0.02671521,0.038796008,0.018431773,0.06033796,0.039523967,0.0037662403,0.02223331,0.0068055335,0.0050336816,-0.018545488,-0.032937016
32340,0.012215194,0.014793766,-0.011556163,-0.011841551,0.011059758,0.017467594,0.02863119,0.013221038,-0.017630292,-0.0051942305,-0.018453041,-0.010126441,-0.019515255,0.0027135871,-0.031984843,-0.03193065,-0.014405298,-0.013295495,0.0064579993,0.017633341,-0.018135594,-0.00017396694,-0.015266586,0.002650255,0.00073034345,0.0023367542,0.025214918,-0.027382113,0.019549152,-0.021710252
32341,0.054878015,0.026722172,0.012961518,0.0060186,0.034469835,0.052957032,0.01676096,0.00232589,0.006430503,0.021903796,0.022734744,0.04356821,0.004294451,0.02913697,0.019195706,0.021058122,-0.0072330297,0.015753528,0.01422182,0.04804649,0.035176504,0.031915918,0.018267907,0.00043985373,0.019258881,0.03870187,0.026061824,0.03037334,0.0217416,-0.01842133
32342,0.07991612,0.05704033,0.01697417,-0.0018877159,0.03522214,0.082832515,0.06024702,0.025836239,0.011144784,0.019006228,0.046689767,0.04506804,0.02543849,0.03335088,0.03135183,0.016978243,0.06259119,0.04390806,-0.022202335,0.049211856,0.04918212,0.06441826,0.054076966,0.018651433,0.024490109,0.07702301,0.04047957,0.009016037,0.033270184,-0.017005824
32343,0.045814533,0.04581654,0.01240727,0.0061783553,0.024348237,0.06372564,0.060982306,0.0035452098,0.011113885,0.0010027463,0.024765106,0.032159206,0.015210662,0.03108439,-0.006846933,-9.202398e-05,0.05606574,0.048507646,0.006237062,0.00012998453,0.035254512,0.031993676,0.042493913,0.013245081,0.01942023,0.056176726,0.011815545,-0.009865792,0.04624247,-0.027666703
