,bear,deer,giraffe,donkey,camel,raccoon,sheep,frog,dog,bird,squirrel,lion,rabbit,alligator,leopard,kangaroo,turtle,zebra,penguin,cat,monkey,horse,tiger,elephant,rhinoceros,cow,fish,ant,goat,bee
733,0.002461117,-0.03307764,-0.0006935957,0.013237495,-0.01910456,-0.0060769343,-0.0054550227,0.012168572,-0.012672522,-0.025970027,0.021312006,0.008016631,0.018188812,-0.010436487,-0.028843308,0.004790732,-0.011357687,-0.014482123,0.0066145733,0.01828081,-0.0013685856,-0.0063096466,-0.014003728,0.013294241,-0.033027906,0.0047441716,-0.027699493,0.027581781,0.019320542,0.0152993025
734,-0.017805956,0.031043777,-0.013310321,0.003278264,0.009262599,-0.004108695,-0.025351584,0.033943303,0.017051416,0.014719271,0.0003173089,0.021829693,0.027687242,-0.002145238,-0.0075428127,-0.0024506904,-0.0031109385,0.001417851,-0.031034268,0.009465138,-0.0019322322,-0.031139133,0.033809464,0.0105692865,0.0030899541,-0.0024925952,0.017677208,0.012356953,-0.01194229,-0.015356814
735,-0.013404776,0.005485805,0.0006744927,-0.019842708,-0.03271931,-0.04375166,-0.0074638254,0.013366941,0.013549837,0.015312557,-0.022912646,-0.02372477,0.008013387,-0.01309478,0.005560581,-0.029832698,-0.027622012,-0.0059447438,0.022115355,-0.017646614,0.0025619622,-0.019782992,-0.009097087,0.019397283,-0.00566447,-0.0019002771,-0.00531476,-0.051466126,-0.0021358302,0.0042940597
1477,0.0031113878,-0.0028311827,-0.0033238698,-0.03413308,0.04347514,-0.035005543,-0.016197337,0.003361673,-0.021579953,-0.0029973232,-0.010774734,0.015010446,0.00959944,-0.030587954,-0.019708673,0.015996594,-0.022473952,-0.013672295,-0.0005419233,-0.0150326,0.00841995,0.0037679095,-0.018634688,0.01199956,-0.02167719,-0.0005135527,-0.018724589,-0.034465868,-0.008981389,-0.015197151
1508,-0.004349166,-0.00265473,-0.015862158,-0.009997335,0.046663065,-0.0017369002,-0.029629027,0.0023258417,0.010037546,-0.034690533,-0.021454796,-0.007525796,-0.014744822,-0.01255416,0.013892929,-0.00012661144,-0.0017754979,0.016814673,-0.00328518,0.023933785,0.00014986766,-0.016030543,0.010984279,0.0063545126,-0.03190798,-0.014851809,-0.010422864,0.00016245556,-0.008682116,-0.0035510964
1509,-0.027502852,0.0077366666,0.012733693,-0.0029061679,0.036974482,0.01324698,-0.015045731,-0.006143645,0.015622352,-0.0035937724,0.004146243,0.015769303,0.005404269,0.002895029,0.007699568,0.0053161145,-0.05121086,0.001442118,0.02930873,0.0022778388,-0.008909944,-0.00017655548,-0.03654982,0.0115421945,0.03189313,0.018366821,-0.0038012296,-0.012999982,0.00061360624,0.0010426582
1510,-0.057719335,0.0055966247,-5.1875908e-05,0.002841011,-0.013922025,-0.019334579,0.007125164,0.019765805,-0.016913129,-0.006648816,-0.02411796,-0.011884066,-0.006801035,0.0073120496,0.028086757,0.061385974,-0.012155493,0.018677277,0.009448293,-0.006320516,-0.0070405733,-0.007643046,-0.0031735767,-0.0028562832,0.008380831,-0.016502598,0.004819146,-0.03520588,-0.014946512,-0.014897325
1543,0.042522386,0.0016695666,0.013295244,0.002263422,0.040228818,0.015365799,0.0152275795,0.011205248,-0.005982829,0.006899145,-0.0009434833,0.00060702674,0.01752629,0.011566003,0.0021167453,0.024057174,0.03572796,0.0054415665,-0.015028021,0.034682807,0.009849797,0.013775073,0.040847115,0.0007969153,0.017472347,-0.0005026687,0.03863999,0.0005608431,-0.004170155,-0.00787629
1544,-0.022066765,-0.012463351,-0.041437566,-0.02381655,0.007742971,-0.041545186,-0.02177942,-0.008481173,0.0012738463,-0.022902077,-0.0031146724,-0.0115187615,0.0021449488,-0.02150177,-0.024543362,-0.012538594,-0.027081193,0.01026734,-0.008070821,-0.0046921414,-0.003176066,-0.0035592958,-0.013657627,-0.010690975,-0.0062139668,-0.019580347,0.011340044,-0.004440699,-0.035540882,-0.022725215
1545,-0.0010690583,-0.026870511,0.0033570311,-0.021756092,0.007668895,-0.018977677,-0.0018233247,-0.009560422,0.004613685,-0.0040207515,-0.035843734,0.031483714,-0.02555793,-0.029961757,-0.001678083,-0.021126954,-0.020575244,-0.0130432965,-0.031235173,0.012153797,-0.011214542,-0.016296303,0.002891659,-0.014986694,-0.016589472,-0.033673953,-0.014552437,0.002622826,-0.0038614895,-0.043613076
