,zebra,kangaroo,lion,penguin,turtle,raccoon,tiger,monkey,camel,deer,rhinoceros,cow,giraffe,elephant,fish,sheep,leopard,dog,squirrel,horse,alligator,bear,donkey,ant,bird,bee,cat,rabbit,frog,goat
87922,0.030323066,-0.010375992,0.020191878,-0.012071635,-0.0027454023,0.002008452,-0.023699043,-0.006251981,-0.014817785,-0.034555085,0.0037482586,0.0073427022,-0.051756028,-0.0054351897,0.009124787,-0.018181324,0.0037796486,0.012192997,0.0059219785,-0.0019018389,0.009685367,0.02369895,-0.01434894,-0.010548019,0.02301845,-0.021325415,0.008627503,0.005434496,0.027904876,-0.026006661
88028,-0.018255582,-0.027029598,0.00034673946,0.019119496,-0.008513848,-0.022431104,-0.013111436,0.017433558,-0.0034217853,0.00082410127,-0.015339146,0.0058805733,0.009128877,-0.017427517,-0.011208269,0.010253173,0.00090738497,-0.0015131546,0.007688875,-0.012516458,-0.012591275,0.006900238,0.015629327,0.002205165,-0.0019069487,4.5707293e-05,0.012924609,-0.0151928095,-0.008385108,0.023849683
88078,0.006333299,0.015403637,-0.022315888,0.016618656,-0.0017720655,0.0046532624,0.001601285,-0.0036410063,0.007767828,-0.01687275,0.010341554,0.026472626,-0.032395896,-0.0071282773,-0.02214259,0.013021273,0.029838556,0.030036962,0.0009688949,-0.013035384,-0.0016606223,-0.0008511734,0.019067282,-0.007297004,-0.008386603,-0.0014527295,-0.0021120484,-0.010553696,-0.015321846,-0.033175033
88124,0.0029428639,-0.006050627,0.0026163931,0.03461958,0.025584491,0.021031985,0.03161592,0.003166764,0.017182523,-0.02810677,0.009162925,0.011752505,-0.0044098534,0.004332659,0.002039017,-0.004934166,-0.0017090213,0.013508186,0.016801875,-0.014843506,-0.001365393,0.022454813,0.027133599,-0.0010403538,0.05602183,-0.016362244,-0.010650068,-0.0040605194,0.02590206,0.0021548383
88168,0.010817222,0.01750029,0.03377008,0.0034822437,0.020270707,-0.00027751396,-0.0018392885,0.010895625,0.0015487632,0.0016601011,-0.018944358,-0.006709793,0.03291515,-0.0126612475,-0.016364649,0.023338258,-0.004434664,0.012594075,0.010031566,0.006524338,-0.01958433,0.011235811,0.024247741,0.0017570625,-0.008348101,0.014641247,-0.010905336,-0.020494612,0.0046037296,0.011895638
91428,-0.007050345,0.015503445,0.024843419,0.015159463,-0.038294163,0.02306105,0.005011357,0.018226543,-0.0086962255,0.01757394,-0.014994952,0.0036798324,0.02139276,0.009674254,0.04495296,-0.036045972,0.015663767,0.009596218,0.0043496825,0.007525128,-0.022074679,-0.022879615,0.03733754,0.0068352795,0.022579543,-0.0155565515,0.031141981,0.010197504,0.012366327,0.00022607918
91429,0.009434397,0.005172878,-0.004569916,0.018661523,0.02545827,0.0053579086,0.024352783,0.015577715,-0.00055818196,0.026703408,0.0003686035,-0.0075937584,0.0026377055,-0.014551305,0.0068493467,-0.01099461,0.01973982,0.016518893,0.019417876,-0.006564951,-0.0015358255,-0.00750168,-0.00058626634,0.028590566,-0.004802034,-0.014556386,-0.016079359,-0.0007129265,0.006321916,0.0289653
91487,-0.0076248557,-0.011217095,-0.015329045,0.03358071,0.012852161,0.032480754,0.008402169,0.012323205,0.013935779,0.017079668,0.0141754495,-0.0013880054,-0.017602682,-0.0019235718,0.024552414,0.0028956905,-0.021407343,0.0051573873,-0.010153866,0.006971752,0.01638458,-0.0015376155,-0.0060056807,-0.029306414,-0.0016390738,0.0046394533,0.017942177,-0.0077161347,0.006036464,0.0046708467
91542,-0.0013325928,-0.0043558814,0.0033102937,-0.023574246,-0.02202946,0.010762517,-0.025777617,-0.009747357,-0.019886183,0.0009944424,-0.018528808,0.00070928776,0.009540924,0.036518406,0.0026376918,0.013071767,-0.009019479,0.032249108,0.0036013154,-0.020267405,0.0014324834,0.01242929,0.010156875,0.017897954,-0.038408775,0.0024269095,0.012331937,-0.0068871467,-0.0018055923,-0.0062866607
91543,-0.011886372,0.04908907,0.0015820827,0.013840158,0.02523578,0.014537421,0.010539857,0.0029348873,-0.022818225,-0.00850757,0.0046970593,0.0058173127,-9.88779e-05,0.007484213,-0.0014048734,-0.031469252,-0.0010792249,-0.06347727,0.008104116,-0.016564459,-0.00035630842,0.00905605,0.0039174855,0.0040101134,0.007912538,0.028592134,-0.013057805,0.014548381,0.000795098,-0.0009615876
