,turtle,fish,bee,frog,rabbit,cow,cat,dog,raccoon,monkey,rhinoceros,giraffe,elephant,leopard,penguin,tiger,bird,sheep,lion,alligator,bear,deer,goat,horse,squirrel,camel,ant,kangaroo,donkey,zebra
26781,0.01173094,-0.0107984925,0.015645707,0.0263172,0.031699404,0.010576859,0.024054145,0.04204473,0.030188536,0.028590804,0.020730188,-0.0015185453,0.033860143,0.021981256,0.003976611,0.026693173,0.00013180108,0.018044515,0.030854166,0.031070711,0.031187488,0.030914828,0.011947572,0.026877424,0.025518375,0.01951908,0.022386124,0.030507734,-0.010721519,0.013633803
26783,-0.017638454,-0.0026867157,-0.0053813104,0.033230852,0.0007005659,-0.02223722,0.00028285882,-0.0072338306,-0.013180323,0.0027168614,0.051489893,-0.026347911,-0.01277376,0.006936477,0.0063200374,-0.0051031522,0.021738127,-0.0052531236,-0.011835821,0.0031203243,-0.019138372,0.0027739157,0.01707688,-0.00036512315,0.0018664831,-0.007577146,-0.025963908,0.013279706,0.026103055,-0.0013653917
26831,0.021530522,0.00422623,0.018070161,-0.024860896,0.028320795,0.01173054,0.013625213,0.021711566,0.019009748,0.011913477,0.0043349084,0.013015886,-0.00017661571,-0.016815817,-0.008859697,0.007980186,-0.008212342,0.018839747,0.048450526,0.01039474,0.002514121,0.024817089,0.020895133,0.018253269,0.012848859,-0.00975377,-0.0034530868,-0.005532866,0.027332181,0.007495822
26832,0.030109083,0.044127036,0.024254814,0.016299369,0.034208577,0.018623838,0.03692891,0.0776183,0.010326389,0.026197614,0.004028805,0.048851725,0.038405836,0.024586478,0.016268441,0.03713372,0.014501673,0.030510461,0.018602012,0.023086831,0.018375928,0.014734243,0.013139968,0.041276872,0.0257657,0.019829033,0.007735623,0.06510078,0.041106123,0.015175386
26833,0.03496661,0.030633906,0.034276385,0.022787342,-0.005181792,0.012459914,0.0225876,0.03659041,0.03654341,0.036217514,-0.0049016825,0.029899552,0.04953007,0.025940003,0.010649719,0.043152794,0.020677544,0.06912268,0.011056572,0.0064291344,0.020399159,-0.01189664,0.032090876,0.027638031,0.007358467,0.0016475996,0.002888472,0.044805292,0.019152567,0.030027837
26882,0.02400609,0.011035845,-0.015678553,0.0015639594,-0.009215699,0.018613389,0.012940444,0.013615348,0.024093121,0.01690627,0.02082538,0.01507184,-0.0061264574,-0.015629815,-0.013047256,0.017399842,-0.017304668,0.009611556,0.013490236,0.0028005894,0.03451034,0.0138880955,0.002750316,0.0046947454,0.012843384,-0.007337908,-0.0270241,0.0010096285,0.014586296,-0.014103088
26883,0.040905215,0.014924198,0.0008417989,-0.0037890936,0.020979414,0.019495005,0.0023975775,0.058881145,0.038618583,0.07365166,0.011750915,0.009093185,0.022319658,0.028093098,0.012319289,0.02134181,0.020829847,0.017756777,0.03718938,0.03236902,0.043146897,0.03900389,0.007158112,0.03572864,0.027806988,0.024572952,0.0124492,0.0014521208,-0.00077859097,0.021288387
26884,-0.0059716054,0.030047195,0.015093812,-0.008372231,0.01574789,0.010895534,0.0078164395,0.022382712,0.026999554,0.021136938,-0.014899286,0.021177292,0.013179849,0.02236908,0.015663221,0.016947415,-0.024936274,0.021364918,0.017913466,0.0017861171,0.011914022,0.0081864,0.03664497,0.004631409,0.026986748,0.011138354,-0.0020848587,0.03916561,0.011335994,-0.001646723
30133,0.011978569,0.012618121,0.009799168,-0.0042455024,-0.005238962,-0.0009350527,0.044121925,0.06243526,0.014696791,-0.004305396,-0.0051064296,0.01140177,0.020169033,0.020247458,0.034504846,-0.003631077,-0.007658722,0.007303216,0.023490122,0.0103096515,-0.0005480947,0.007933779,0.026238918,-0.009575726,0.05018458,0.0044586365,-0.011029364,0.008840546,-0.0143525,-0.0021043671
30134,0.0003330467,0.012147215,0.0026922405,0.021231964,0.003876235,0.0040050293,0.04350477,0.033649456,0.028978737,0.035247058,-0.0076262304,0.013471634,0.035250966,-0.0065796617,0.007514134,0.042440433,-0.002417636,0.029522762,0.019174999,0.01949978,0.022498889,0.003703422,0.014990877,0.023230389,0.02353401,0.01684423,0.00013720927,0.057096258,-0.011029284,0.0023092395
30135,-0.009201414,-0.0004500132,-0.02388432,-0.004966552,0.00022798288,-0.003908508,0.026237288,0.0069849337,-0.004073,0.017346622,-0.029101932,-0.002013216,-0.017537562,0.04052779,0.019171895,0.0066290745,-0.02611515,0.0052842502,0.0045493455,0.010354941,0.021082344,0.011219497,0.007837318,0.010780045,0.013366911,0.010364118,-0.0035426442,0.0139639815,-0.0057213926,0.00874795
30136,0.021593133,0.005574199,-0.01657176,-0.013868426,-0.005650863,-0.00693172,-0.01539534,0.02726421,-0.0033397917,-0.0028345287,0.022901272,0.0100050885,-0.012084581,0.009965296,0.030897534,0.036859374,0.00978063,0.017386349,-0.027364833,0.01740378,-0.042122528,0.023345737,0.0187968,-0.0017016932,-0.017136801,-0.011564779,-0.0063676704,-0.015472546,-0.025725147,-0.0031655123
30137,-0.0009178572,-0.0011112703,-0.029152447,0.02480264,-0.026444377,-0.0015379296,-0.016910503,-0.017090695,-0.016982673,-0.009869289,0.048909348,-0.004442004,0.026810685,0.03706215,0.013674944,0.012367231,0.01632698,-0.007413812,0.0050505605,0.0042730053,0.0052176067,-0.0046045054,0.019880168,-0.020657156,-0.021957375,-0.00072863075,0.03568215,0.016047893,-0.019213082,0.011539246
30183,0.03137451,0.047277823,0.01577718,0.04426743,0.049009744,0.031245189,0.06906687,0.060338024,0.014415366,0.03122137,0.041255902,0.005290097,0.019808764,0.052747983,0.037708968,0.021825373,0.033771448,0.033596765,0.03327087,0.043302014,0.061139613,0.03093127,0.04783209,0.029616045,0.039426666,0.05534373,0.041922987,0.054822624,0.014660914,0.017771969
