,turtle,fish,bee,frog,rabbit,cow,cat,dog,raccoon,monkey,rhinoceros,giraffe,elephant,leopard,penguin,tiger,bird,sheep,lion,alligator,bear,deer,goat,horse,squirrel,camel,ant,kangaroo,donkey,zebra
2892,-0.0073167006,-0.0010325555,-0.008532306,-0.0058699995,-0.007852328,0.0079941945,0.027997823,0.0048659127,-0.0032964125,0.019022692,0.010983313,-0.025500396,0.014300674,0.0074119945,-0.03995534,-0.020876804,-0.0130141275,0.019584203,-0.0033322647,0.007946647,8.5779466e-05,0.014229358,-0.00475316,-0.0011776485,0.006353202,0.021771898,0.008444487,-0.007131563,-0.026711544,-0.0115087675
4080,-0.038504187,-0.018070402,-0.01599944,-0.015651023,-0.021560038,0.00095975894,-0.023573468,0.028317591,0.0016711986,-0.008574221,-0.017055715,-0.022101315,0.007090553,0.0039259433,-0.039517604,0.008455661,0.025225759,-0.057385128,-0.022988135,-0.010422401,-0.029653372,-0.026695458,-0.013212416,-0.0147416415,-0.024997612,-0.0052098935,0.0071689696,0.010021325,0.015458246,-0.020998152
4081,0.006756656,-0.005339931,0.014270608,-0.031314556,0.030004973,0.01678417,-0.02521611,0.02639936,0.0057332846,-0.023875492,-0.0099721635,-0.014355409,0.0106739355,0.013856463,-0.021444956,0.011050404,-0.01280351,-0.028693855,-0.0028169958,0.0058884905,-0.0073870923,0.00014846523,-0.004569044,0.002380072,0.0014615295,0.012878274,0.014913273,0.0024565645,0.035821468,0.015427239
4123,-0.018374735,0.030810684,-0.028216513,-0.025880443,-0.019167295,0.008040802,-0.012803466,0.027587844,0.03382805,0.014109262,-0.03345685,-0.034691457,0.015604295,0.00046598198,-0.025781298,0.024380013,0.02907215,-0.042554487,-0.019517409,0.0028865666,-0.0091802,0.0027554284,0.0075623374,-0.009090713,-0.017057147,-0.0308417,0.024679402,0.011338174,-0.008836564,-0.019193316
5408,-0.029676974,-0.028841464,0.033867657,-0.008542505,0.0034921102,0.0031573363,-0.0070401183,0.0050226436,-0.013210215,-0.0059029795,0.024708346,-0.0068328585,0.017236417,0.0036179207,0.010368113,0.0028206392,0.013997532,-0.019023962,0.015619911,0.017154425,0.0015053595,-0.0030011244,-0.045872454,-0.007871346,0.029489325,0.012619343,0.0056665433,0.018542416,0.015730945,0.02168486
5409,-0.00090073206,-0.0049203723,0.022702172,0.00034900135,0.02404734,0.012287528,-0.013318233,0.037467744,-0.009805855,-0.00557996,0.017935509,0.010266242,0.019252738,-0.020835897,0.0027894862,0.00537941,0.011599508,-0.030167295,0.018770041,0.024814181,-0.007329593,-0.019380292,0.012873165,-0.00568736,0.024317188,0.011461572,0.058134597,0.034232486,0.049625944,0.019030688
5410,-0.006969768,0.02531775,-0.0011712853,0.010266834,0.020500438,0.008129221,0.025453283,0.030318996,-0.005821865,-0.0055139377,-0.024585083,-0.010488163,-0.0034422807,-0.0071789287,0.011414424,-0.04859553,-0.0062206737,-0.018741047,-0.012705396,0.012649171,-0.036441308,-0.0039033275,-0.026789004,-0.009398807,-0.016009266,-0.009835935,0.027683169,0.009254633,-0.026036734,-0.017545538
5450,0.027528362,-0.004997539,-0.012143244,-0.022897586,-0.0034443538,-0.00015515873,0.006130176,-0.030426601,0.0049505285,0.006394817,0.02244175,-0.005549302,0.006687697,0.0030746441,0.008862363,-0.031038076,0.050034817,0.011434737,0.0064769997,-0.0060557425,0.020157715,0.010065017,0.006144551,-0.012587908,0.0016660435,0.0060352017,0.007393411,0.018698936,0.018146688,0.005008494
5451,0.016913464,-0.009431745,0.015216731,-0.0067716683,0.008692834,-0.012546013,0.032682933,0.004043925,-0.019625483,-0.010715191,0.02185437,-0.016276082,0.032933734,-0.0066332077,-0.01181865,0.005342704,0.01717298,-0.004895872,-0.0041842745,-0.018083492,0.010670508,-0.012716445,-0.01240202,0.0040562362,0.016106607,0.0021181174,0.034490887,-0.018987892,0.012258339,-0.005523182
5452,-0.027177384,-0.010200978,0.005074229,0.0035593677,-0.01727601,0.0035634239,-0.015993897,-0.010138935,-0.0050591715,0.0055342526,0.010700679,-0.015759464,0.027650142,0.019659216,-0.014582578,0.022740277,-0.018144883,0.0026385195,-0.0010935568,-0.0075650797,-0.01944214,-0.04617597,-0.015847811,-0.00720644,-0.032293927,-0.0126756355,0.0058188797,-0.0018405727,0.028139396,-0.011890433
