,turtle,fish,bee,frog,rabbit,cow,cat,dog,raccoon,monkey,rhinoceros,giraffe,elephant,leopard,penguin,tiger,bird,sheep,lion,alligator,bear,deer,goat,horse,squirrel,camel,ant,kangaroo,donkey,zebra
12616,0.019959489,0.008880791,0.04165339,0.04486988,-0.012586434,0.00811486,0.050516587,0.04914478,0.0055201226,0.04604444,-0.011552058,0.024327472,0.029251954,0.02109783,0.03579008,0.04305038,0.018679658,0.042544603,0.057875384,0.050916012,0.0138865085,0.04884395,0.035719197,0.04188935,0.037118822,0.022523234,0.07229504,0.050149526,0.013768859,0.021996887
12662,-0.01641936,0.016713724,0.008742644,0.019945914,-0.01046724,-0.00571888,0.0029257368,0.03925157,0.010683584,0.0433654,-0.006508769,0.0065920595,0.030897908,0.00872727,-0.010687892,0.039164715,-0.011312668,0.010305806,0.0053251646,0.033389393,-0.02502267,0.020285258,0.021720713,0.017651362,0.033683386,0.008655415,0.040792968,0.032955624,-0.022335498,-0.027487785
12663,0.0053342395,0.013062298,0.04823566,0.051101003,-0.014346249,-0.011751741,0.052478146,0.05357808,0.009485585,0.03873117,-0.028255982,0.008466522,0.02509466,0.01246966,0.021258594,0.027413012,0.0012382161,-0.0031246122,0.023245418,0.048322648,-0.0030159883,-0.00838573,0.017130157,0.031066924,0.053797286,0.033526905,0.049400788,0.07181398,0.028659062,0.0148617625
12709,-0.029246094,-0.0053937417,0.023956964,0.03409225,-0.0016971319,0.012482089,0.033376988,0.030630646,0.012308807,0.03304388,-0.001199262,0.035070647,-0.01203178,0.049314782,0.027355628,0.033670437,-0.02179645,-0.0003127898,0.03218535,0.029957086,-0.015665857,0.045252275,0.0022953975,0.008440039,0.020161597,0.03945762,0.050932016,0.03369876,0.013183151,-0.014077176
12710,0.004398856,-0.017478429,0.031173795,0.042651113,-0.008225086,0.0075803273,0.031919297,0.04049642,0.024256617,0.029664561,0.0010785334,0.012329328,0.047333565,0.026206365,0.042333353,0.02225416,-0.006255243,0.036208898,0.034511272,0.046376675,-0.0026261143,0.012229028,0.0016735656,0.023948258,0.03997385,0.020458465,0.030887602,0.06528431,0.03314694,0.021387318
12758,-0.008809042,0.013187058,0.023999423,0.0367388,-0.002368684,0.02022723,0.022710165,0.033206135,-0.021262644,0.018826708,0.04088158,-0.020709781,0.030276326,0.025846818,0.029687827,0.02024527,-0.022118865,0.0045884373,0.035102043,0.034055512,0.004714485,0.0071909837,0.0060678474,0.021542797,0.025030503,0.0061607957,0.043258384,0.037841707,0.0342335,-0.01806658
12759,-0.013920214,-0.035429437,0.008282477,0.015278461,-0.000300221,0.017909624,0.03272814,0.041434545,0.017870488,0.037327472,-0.028842067,-0.010356874,0.018381776,0.032689188,0.032421347,-0.033651244,-0.0023422977,0.0009914665,0.04988837,0.018408671,-0.028555626,0.017601637,0.031819202,0.010604707,0.022308744,-0.0032336668,0.03753244,0.050386727,0.0076634213,0.020592017
12807,-0.017024146,0.02461662,0.027141152,0.027762936,0.0124030085,0.0054148417,0.022646585,0.014032048,-0.012782601,-0.010218561,-0.00811223,0.0065249777,-0.011283427,0.00618209,0.010651078,0.012309283,-0.010065745,-0.016567254,0.02050347,0.026124964,-0.0011233734,0.034833193,-0.00025370778,-0.0031584597,0.026183292,-0.014915574,0.04770049,0.01721814,-0.0022111342,-0.009349988
14944,-0.030651346,-0.027686412,0.0033526698,0.0011314483,-0.035907358,0.008842074,0.051739186,0.060751695,0.05245827,-0.0039688773,-0.024345418,-0.010727604,-0.01218418,-0.015385668,-0.0013879808,0.007971335,-0.012300171,0.03572228,0.015077527,-0.0077338475,-0.0038022224,0.028147807,0.011764967,0.0049566305,0.04282688,-0.04155031,0.020711835,-0.0008982541,-0.022406474,-0.049369592
14991,-0.022870436,-0.013563034,0.04150115,0.01853372,0.0071654455,0.0003932106,0.024531627,0.055100784,0.0027426584,0.024849733,-0.00013384379,0.04150105,0.051653545,0.010724994,0.04891482,0.022305578,0.017332155,0.016034624,0.034835268,0.00397622,0.006193023,0.01596306,0.016592141,0.013863381,0.0426674,0.023055037,0.017915385,0.064283244,-0.026882863,0.02003619
