,turtle,fish,bee,frog,rabbit,cow,cat,dog,raccoon,monkey,rhinoceros,giraffe,elephant,leopard,penguin,tiger,bird,sheep,lion,alligator,bear,deer,goat,horse,squirrel,camel,ant,kangaroo,donkey,zebra
8067,-0.0044997633,-0.0014475895,0.010849715,0.014541484,-0.02034951,-0.006829802,0.0042789695,0.06357493,-0.017669357,0.014666201,0.018694295,-0.04237883,0.01259305,0.0004543046,-0.017316096,0.012354941,-0.024047775,0.0051877564,0.003922856,-0.0147974305,-0.014481918,-0.037508126,0.007653797,-0.0026592996,-0.003935864,0.0296634,-0.010099198,-0.049093336,-0.023850927,0.001523909
8095,-0.008253501,-0.040370874,-0.003501692,-0.0011059777,-0.00021390663,0.013140097,0.026985968,0.045911025,0.019732675,0.017595777,-0.012631693,-0.0005819037,0.03211699,0.015832124,0.013926993,0.012513791,-0.0043976675,0.0074716494,-0.00417719,0.009407056,-0.0073838593,-0.01678468,0.03262504,0.019736344,0.0065150387,0.0047698254,0.028564895,0.0058768108,0.0069910833,-0.002241807
10077,0.018496407,-0.034969352,-0.02049234,0.019877637,0.009051446,0.01356554,0.0012457283,0.025458984,-0.022300223,-0.013141216,0.010247421,0.011168275,0.030613517,0.01757438,-0.032221735,0.028407753,0.0022882118,-0.006534505,-0.0051765502,0.0080902185,0.061171066,-0.005147294,0.0069100284,0.017718533,0.012965419,0.025975468,0.0014459379,0.017202886,0.007903975,-0.0028055713
10108,-0.031680275,-0.0057739154,0.02547215,-0.0012534125,-0.01858346,0.003336917,0.03444964,0.028325915,-0.00018909636,0.02944865,-0.0072426368,0.014392781,0.035139713,0.014017145,0.010296207,0.005537346,-0.0052344236,0.03649874,0.004514357,0.013083226,0.010747557,-0.006548565,0.026136262,0.02006426,0.030338503,0.017875137,0.056763973,0.023611149,0.014487469,0.015570056
10109,0.018487917,-0.022319095,0.018492006,0.010854424,-0.014803204,0.021706082,0.033219766,0.040349923,0.02668075,-0.005650258,0.011081991,-0.0036040407,0.015437937,0.019937947,-0.00015301102,0.01236811,0.014635417,0.025437588,0.019240884,0.041054152,-0.0021211144,0.017593542,0.026312547,0.030452907,0.025048822,0.041776177,0.03776249,0.027405933,0.00841102,0.015832229
10141,-0.014618564,-0.015481327,0.03802899,-0.0051877536,0.0083677,0.003329327,0.010270539,0.041098516,0.033887763,0.0016956847,0.019034378,0.036390025,-0.010716277,0.021764817,0.041793037,0.06489813,0.026869303,0.01564372,0.023873217,0.031642463,0.00982844,-0.0022985225,-0.007733915,0.021956578,0.025542712,0.037482034,0.028400637,-0.004531872,-0.0033668268,0.008080496
10142,0.02283846,0.022990024,0.08575526,0.04165447,0.032288004,0.013181125,0.03970232,0.026430199,0.025437966,0.026982063,0.025571542,0.024574602,0.02990815,-0.03382964,0.012899782,0.05884056,0.04697216,0.0013836026,0.02472075,0.047326077,0.014777586,0.018034862,0.013891186,0.038005363,0.08040909,0.039340127,0.052554328,0.058065277,-0.004861174,0.0228504
10178,-0.08690543,-0.05801834,-0.020749493,-0.021031529,-0.02509217,-0.03670071,-0.007316688,-0.025390245,-0.051143553,-0.037967395,-0.069256335,-0.03876805,-0.014836145,-0.051296562,-0.022255177,-0.06696918,-0.048602182,-0.045108516,-0.041539717,-0.037356075,-0.0319878,-0.030801347,-0.033259634,-0.049574446,-0.06144238,-0.033267494,-0.037551902,-0.027181907,-0.012139845,-0.029142762
10179,-0.09151178,-0.051056888,-0.025781542,-0.0035728074,-0.023671864,-0.029767906,-0.03629714,-0.03215996,-0.03942779,-0.021453269,-0.05405968,-0.040282384,-0.035632145,-0.031518873,-0.029350981,-0.05947366,-0.05656651,-0.009135078,-0.013697301,-0.027441928,-0.024202546,-0.022683969,-0.044071987,-0.036271337,-0.06082992,0.0032468487,-0.023303302,-0.025845282,-0.03891966,-0.04733805
12291,-0.005367027,0.006666597,0.023214377,-0.02058872,0.011304344,-0.0025232271,0.017226974,0.039860275,-0.014191076,0.02502427,-0.008258604,0.029444305,0.022465447,0.023462543,-0.004411563,-0.0016989239,-0.007020051,0.006701089,0.009721669,0.030999824,-0.0045398674,0.019666722,0.018750563,0.016415836,0.013726548,0.00042307502,0.0358973,0.026115403,-0.018560447,0.020177979
12325,0.002122511,0.0047446233,0.045968663,-0.008423465,-0.011930626,-0.0082637295,0.028965568,0.02311881,0.023826001,0.021249393,0.024990924,0.05446656,0.0057949773,0.012008122,0.031804163,0.026174987,-0.018882573,0.005616084,-0.019982643,0.02346134,0.0074329297,0.0050588646,0.019704727,-0.002572782,0.019331671,0.026737774,0.04554349,0.020559557,-0.0048467596,0.026678542
12326,0.04701389,-0.009536522,0.0120215975,-0.014963021,0.010941829,-0.0024118235,0.031173753,0.010542425,-0.0056431983,0.006325178,0.021210767,-0.008150269,-0.018263914,-0.009093833,-0.0012746623,0.010667925,-0.025134131,0.043415666,-0.0056815725,0.0070794127,-0.007339813,0.00999507,0.013702269,0.0054259244,-0.01917382,0.026387153,0.0313497,0.007134982,0.00707291,0.025973618
