,turtle,fish,bee,frog,rabbit,cow,cat,dog,raccoon,monkey,rhinoceros,giraffe,elephant,leopard,penguin,tiger,bird,sheep,lion,alligator,bear,deer,goat,horse,squirrel,camel,ant,kangaroo,donkey,zebra
5319,0.00936241,0.008333677,0.048810493,0.016141046,0.0058082454,0.023278473,0.008713387,0.019023089,0.025078004,0.0031621906,0.0140445875,-0.013688576,0.0013830016,-0.0017816247,-0.01326535,0.0051717623,0.00090082054,0.0004238578,0.01357551,0.0082225045,0.029045433,-0.0100801615,0.013135456,0.021526879,0.022257091,-0.008898134,0.04194848,0.023521954,0.026207676,-0.0006114331
5320,0.02866935,-0.020935258,0.03483007,0.0111711845,0.0028742745,0.030934222,0.0022008803,0.004760291,-0.0065815,0.0023896822,0.019246737,-0.01346492,0.013470293,0.031620245,0.03131185,0.0019314733,0.03416316,0.011256258,0.021614067,0.011268631,0.0005264779,-0.036707353,-0.0034760244,-0.0014934503,0.026135663,-0.006544063,0.01570321,0.016080873,0.0013114806,-0.030641994
5363,0.015882445,-0.009124882,0.027404578,0.016627364,0.020203294,0.0042462004,-0.0008176553,0.02341125,-0.0076882523,-0.014084977,0.0047161453,0.005071808,0.034171604,-0.0018391339,-0.00618354,-0.026208974,0.030670157,0.014527109,0.014878302,0.02147769,0.010502055,-0.017394703,-0.027691796,0.0031141546,0.030570433,0.038481846,0.032129977,0.014198478,0.02473568,-0.014539726
5364,-0.00052110414,-0.020750543,0.04888813,0.0156046,0.021311417,0.008173435,0.0020580862,0.04081666,-0.015636472,-0.0032519277,-0.0036886304,0.011660799,0.022599453,-0.016928487,-0.0006232026,-0.0034642785,0.0021083278,-0.0012830058,0.014609727,0.023762539,0.0031727534,-0.02590388,0.00023710355,0.00371815,0.031367004,0.0021788902,0.056409746,0.029218383,0.044394627,0.0001219941
6951,-0.037204426,0.019833991,0.051890407,0.005541287,0.0031834478,0.0039320043,0.020142887,0.032750767,0.0033197328,-0.016782789,-0.03675944,-0.02207912,9.620128e-05,-0.011870801,0.021990774,0.005263697,-0.006820475,-0.012710636,0.023589067,0.013774003,-0.012689271,0.011346643,-0.020444203,0.017580137,0.0076715704,0.020343533,0.05815969,0.023186749,0.027408415,0.027851881
6952,-0.010417021,-0.0044232067,0.038057547,0.0076533332,0.019560525,-0.012820989,0.022319501,0.05434547,-0.033221204,-0.007486032,-0.01171133,-0.0113147935,0.03689101,-0.0120904045,0.0020108812,-0.003052748,0.002255027,-0.000663251,0.0003240943,0.029919075,-0.0012681322,-0.011275225,-0.019046044,0.01923264,0.030217567,-0.0010479627,0.043323454,0.005404568,0.0558814,-0.003055011
6953,-0.0049258946,-0.018813998,0.02487731,0.02218456,0.023045836,-8.150314e-06,0.0046286248,0.047993425,-0.015811203,-0.007195299,-0.007706909,-0.011710509,0.025130242,-0.01813952,0.005668706,0.011213392,-0.012968508,-0.0036872951,0.005366724,0.023390358,-0.008810802,-0.032135937,-0.005652562,0.008645825,0.039354917,-0.0006885044,0.06803497,0.029358013,0.04758045,0.0040662554
6997,-0.030947572,-0.029011874,0.008559619,0.013067972,-0.01125463,-0.0037312787,0.025699198,0.020364221,0.0010642981,-0.023321496,-0.004828574,0.012796159,0.002116141,-0.024129309,0.0031823248,0.018240292,-0.0013856658,-0.013065838,0.009620868,0.006679893,-0.012290079,0.014304067,-0.014167745,0.003814475,0.015500733,0.04528925,0.026620725,0.0062357616,0.0025304426,-0.0007854281
6998,-0.01079667,-0.011339985,0.03408992,0.00071059476,0.016129166,-0.01009666,-0.009991438,0.032862872,-0.025791125,-0.0037038277,-0.0064986087,-0.014222254,0.027931863,-0.021083226,0.005077427,0.0047484483,0.0051088505,0.001795417,-0.0009566199,0.012184394,0.012523337,-0.02034841,-0.027148597,0.0053899656,0.036786284,0.012647589,0.045061383,0.0063497573,0.0052866167,0.009404338
6999,-0.0057878196,-0.01995766,0.0308815,0.0040321597,0.019708974,-0.0029719153,0.009220653,0.041812915,-0.021018488,-0.009504289,-0.0016001641,0.0031380064,0.017763397,-0.030860795,0.011459622,0.0041949986,-0.012622147,-0.010490605,0.0098761665,0.021575509,0.0064565167,-0.032465927,-0.01780835,-0.0040073497,0.023294581,0.010306341,0.05193925,0.020719932,0.037019674,-0.011227082
7087,0.00050200586,-0.001821847,-0.015710952,-0.021576023,-0.0029593378,0.0016440867,-0.018930754,-0.011247945,0.004648393,-0.002282609,-0.011291858,0.027654782,0.017326197,0.009142154,-0.007928259,-0.007438749,0.021765811,0.004151665,0.004306242,-0.0005216512,-0.014764573,0.008897633,-0.01852525,-0.010308013,0.012255486,0.012649114,0.005619098,0.00014859065,0.017028032,-0.0074998885
8756,-0.031609762,-0.0017798381,-0.008915866,0.01608259,0.027517468,0.009519822,0.023799872,0.03508589,-0.039681792,-0.034790296,-0.0411322,-0.027343092,-0.006751179,-0.021517003,0.015227434,-0.009981153,0.0035245705,0.0074756895,-0.024333134,-0.006518429,-0.007242309,-0.007234639,0.017934313,-0.016277539,0.02153529,-0.030035341,0.014365186,-0.013481627,-0.0042863544,-0.0014052127
8801,-0.008896403,-0.008763588,0.041775245,-0.00943548,0.0070408676,0.0057106013,0.026595421,0.048348546,-0.011910133,-0.014500634,-0.02540803,-0.0043996996,0.0429432,-0.0409278,0.00047342232,0.0044256025,0.005911829,-0.00086699676,0.0047036484,0.011103361,0.004296781,-0.015093728,0.0035270918,-0.01388559,0.029627452,-0.017572729,0.013580815,0.020540843,0.009734587,0.011888756
8802,-0.0078020394,-0.03258091,0.032305423,-0.01609598,0.019434752,-0.010529361,0.014766951,0.03203263,-0.024178037,-0.011811014,-0.018610934,-0.019208103,0.028228408,-0.027038028,0.0028537102,0.019807912,-0.0049021007,-0.019181022,-0.0041427226,0.015963936,0.00046952037,-0.025882615,0.0013254359,-0.010475118,0.03057644,-0.0035165735,0.039456025,0.007933066,0.039640777,0.010327092
