,turtle,fish,bee,frog,rabbit,cow,cat,dog,raccoon,monkey,rhinoceros,giraffe,elephant,leopard,penguin,tiger,bird,sheep,lion,alligator,bear,deer,goat,horse,squirrel,camel,ant,kangaroo,donkey,zebra
5291,0.0074954573,-0.00287803,-0.005541917,0.025066363,0.008025684,-0.015785526,0.0025478073,0.0065692016,-0.016463613,0.0033888451,-0.0033806788,0.0030709591,0.03875327,0.01460962,0.012831357,0.0009392815,-0.022331135,0.012596878,0.015143193,-0.00089912023,-0.0073016514,0.02725401,-0.00506387,-0.0079662865,0.0053724623,0.03170519,0.0074472413,0.039288968,0.0043972596,-0.0045266286
6878,0.01321818,0.024392983,0.0052972347,0.014229595,-0.014865669,0.0041940934,-0.0011650502,-0.02098806,0.016547259,0.0016736871,0.0048693707,0.001755313,-0.01807609,-0.02546163,0.018470684,0.0013894998,0.01736692,0.007865816,0.029466048,-0.012654317,-0.029989293,0.015734045,0.01862677,0.0032590053,0.0020762123,0.02565808,-0.008709362,0.0021304751,0.003536071,-0.003529899
6925,-0.00040832357,-0.021022446,0.007869667,-0.008864759,0.003926104,0.004247274,0.007354472,0.03445844,-0.0045189294,-0.003728978,-0.020288438,0.024514573,0.019622685,-0.013280508,0.0057508093,0.024562396,0.03260987,0.0052059987,-0.0016205326,0.00480409,-0.018931558,0.005813362,0.018092513,-0.0008152093,-0.004641698,0.014509489,0.043252755,0.004949779,-0.0009358527,0.003319239
6926,-0.020411966,-0.023285724,-0.006193411,0.023414908,-0.015176031,-0.0063168146,0.051238254,0.015523039,-0.0027480398,-0.0065507516,-0.00640442,0.013902304,0.0064904145,0.018336503,0.01861039,-0.015357492,-0.01850863,-0.0023488991,0.02268411,0.018538415,0.012079128,0.013026944,0.0024116961,-0.010323186,0.0036069837,0.010868456,0.027414223,-0.0062296093,-0.02415642,-0.006603031
8682,-0.0023292247,0.012448539,0.0023615777,-0.0036550283,-0.011821528,0.028402174,0.033997085,-0.036290493,0.030011803,-0.021609722,-0.02269697,-0.0024368276,0.00093000446,-0.017739868,-0.010595358,-0.009265414,-0.009204473,-0.035831455,0.022223448,-0.009435959,-0.028637707,-0.025940066,-0.004878102,0.0113216825,0.0068862904,0.022256568,0.0048311395,0.03437594,0.016184492,-0.034340207
8727,0.0032701048,0.015292954,0.025296854,0.008292881,0.01041406,0.012815124,-0.030825062,-1.1409943e-05,0.012680873,-0.01259203,-0.008946889,-0.006083528,0.011357638,0.009418775,-0.012736502,0.0050914343,-0.0051120035,0.0033936154,0.018193066,-0.019349465,0.023149846,0.0004355181,-0.020805793,0.00077969645,0.003088514,0.007500373,-0.007009037,-0.0094238445,0.01043973,0.008477574
8728,0.0007271648,0.0122294845,-0.019547582,-0.004558589,-0.00397251,0.0073089735,0.012592338,0.021895109,0.022583382,0.010546713,-0.01931837,0.010763302,0.031149702,0.01773073,0.004618538,0.020702945,-0.02920595,-0.002905478,-0.009900752,-0.0134797385,-0.003149795,-0.013104244,-0.04728195,-0.024252882,-0.019936187,-0.004102964,0.009204091,-0.007337854,0.024958206,0.0017089206
8729,0.0023865104,-0.017023003,-0.009018621,-0.010344819,6.922707e-05,0.010972157,-0.00064865564,0.02414495,-0.008184084,0.031592328,0.005473769,0.027458183,0.013356413,-0.0075439676,0.013416663,-0.020461148,0.0007810537,0.01627198,-0.012361755,-0.0032945357,0.0025356272,-0.006185288,0.01670069,-0.0023853001,0.024784787,-0.015672823,-0.015727798,-5.2979372e-05,0.0022515494,-0.004121508
8730,0.0031620313,0.014946769,0.03315365,0.011675175,-0.0022232332,-0.002804152,-0.0016182335,0.035799574,0.010670454,-0.0022381896,-0.000637471,-0.008042592,-0.009302822,-0.015034345,-0.004596247,-0.00038964782,0.004880246,0.024943845,0.018024571,0.014050814,0.006846478,-0.01758345,0.006215163,0.007266956,0.010388813,-0.011666826,0.03573519,0.02552629,-0.0161027,-0.008607514
8774,-0.0067238645,0.013418495,-0.014091243,0.03045979,0.021868005,0.0061523938,0.021521045,0.0060920804,-0.0058181896,-0.0022820747,-0.0067898515,0.0021924956,-0.02103137,-0.011943127,-0.005042732,-0.008733332,0.018862521,0.016290488,0.026956955,0.020720826,0.0056909784,-0.012222923,0.014229387,-0.006496675,-0.0010175821,0.026772572,-0.027857894,0.018324787,-0.019607041,0.0054956507
