,turtle,fish,bee,frog,rabbit,cow,cat,dog,raccoon,monkey,rhinoceros,giraffe,elephant,leopard,penguin,tiger,bird,sheep,lion,alligator,bear,deer,goat,horse,squirrel,camel,ant,kangaroo,donkey,zebra
31592,0.014407364,0.04655741,0.050105292,0.045509715,0.018892767,0.054197308,0.004551342,0.043753248,0.059622582,0.0023686716,0.003401484,0.06267347,0.00471599,0.009724234,0.068104915,0.06594948,0.007894769,-0.007690091,0.014501467,0.027946623,-0.005627353,0.03480892,0.01178469,0.030766375,0.039666552,0.015774643,0.064759724,0.012998372,0.033042435,0.06574424
34738,0.020273862,0.022057831,0.012737076,0.020755187,-0.0065826983,0.014740379,-0.0026801229,0.016670154,0.011790824,-0.015460089,-0.0021526471,-0.0013405067,-0.029937984,0.0056692013,0.012396183,0.013515331,-0.0073075234,-0.01581851,-0.011760216,0.01619171,-0.008242589,-0.0007733892,0.006907144,0.015544676,-0.0057928464,-0.018595526,0.04696433,-0.0008733552,-0.004332997,-0.0008632348
34766,-0.057207856,-0.0009915351,0.0014130318,0.00075412885,-0.0014383293,-0.016960474,0.0032988926,0.004686505,-0.0036605645,-0.04214305,-0.011300083,-0.019508172,0.0026609816,-0.002322481,0.010694253,-0.0020529097,-0.029068092,-0.04291102,-0.018268516,-0.01946585,0.008027538,-0.00961998,-0.011157605,-0.0015819777,-0.014182992,-0.042966813,0.001069115,0.015153092,-0.00833677,-0.031687215
34799,0.02711081,0.00611278,0.0131140165,-0.0031010255,-0.019201906,0.023274096,0.004125885,0.048988964,0.010490224,-0.0250714,0.026393583,0.028524866,-0.015577837,-0.019553754,0.0068907994,0.03659302,0.0052740523,-0.024061194,0.00046587517,0.021501256,0.0032299142,-0.032013193,-0.026402302,0.0016947268,-0.011657351,-0.010052787,0.04665367,0.027746523,0.026189534,0.010618359
34800,-0.012687985,0.017309744,0.002695042,0.037434243,-0.0017789217,0.02208723,-0.013663656,0.018735511,-0.012094128,-0.006982598,0.02535781,0.010802296,-0.014744916,-0.030534504,0.02765804,0.025292499,-0.020179361,-0.011752586,0.0023093603,0.011562512,-0.0054179546,0.038998354,-0.0037759542,-0.0012998552,0.0021766194,-0.016980426,0.032673895,0.014654753,0.013190652,0.0077604135
34837,0.011449595,0.06599479,0.08294594,0.05043729,-0.00487195,0.026609942,0.014749941,0.06665792,0.056046043,0.01091063,-0.015842585,0.08245156,0.021003453,0.034292206,0.06607988,0.06734231,0.015292532,0.022006638,0.031535547,0.038736522,0.021128088,0.0419104,0.020893151,0.012935348,0.033751473,0.033770185,0.068130374,0.036849067,0.030451784,0.05099781
34838,-0.014101812,0.016174665,0.038511757,0.013755862,0.0041859443,-0.0059293597,-0.015935995,0.020397598,-0.0023935374,0.017749151,0.010969545,0.035792854,-0.001460813,0.018452018,0.029459232,0.050500304,-0.00087748683,0.0012238963,0.0045336713,0.021092558,0.018884476,-0.0019607071,0.013933438,0.011437681,0.03166709,-0.026363857,0.034973204,0.01578608,-0.009077133,0.01927613
38014,-0.0017745402,-0.0016825212,0.009178613,0.050281476,-0.013531649,-0.006067132,-0.00989757,-0.014305501,0.0150587475,-0.037977517,0.0069225673,0.0056868256,-0.012940208,-0.0025787286,0.018955458,0.042637378,-0.046357762,-0.020961946,-0.039780647,0.011749911,0.0020137802,0.027553469,-0.023801407,0.008636813,-0.0073270034,-0.045533102,0.020765344,0.005785745,0.012387212,-0.037006706
38015,0.0034188777,-0.008907921,0.018441979,0.028332636,-0.010766373,-0.006479827,0.0018069645,0.00080341595,0.005515816,-0.016940737,0.0019429574,-0.013774983,0.016552353,-0.0031059794,0.023472771,0.027245834,-0.024874724,-0.005599274,-0.005751018,0.022528825,-0.011296779,0.017393375,0.017874645,0.000289759,-0.0097681545,-0.058598295,0.0010820773,-0.009724724,0.015492052,-0.028624743
38016,-0.008739249,-0.0072550136,-0.024445944,-0.01509736,0.017498633,0.011736169,0.030605549,-0.010745077,0.018719228,-0.015189252,0.01390861,-0.012104937,-0.014437898,0.015607824,-0.014072806,0.0011480333,0.025876284,-0.01493146,0.027049946,-0.011680164,0.035347242,-0.0030544081,0.023472764,0.0021205319,-0.01494499,0.0041205003,-0.021617085,-0.026441969,-0.0053811907,0.053351805
