,turtle,fish,bee,frog,rabbit,cow,cat,dog,raccoon,monkey,rhinoceros,giraffe,elephant,leopard,penguin,tiger,bird,sheep,lion,alligator,bear,deer,goat,horse,squirrel,camel,ant,kangaroo,donkey,zebra
22526,-0.01579981,0.0037320268,0.0016917316,0.029555455,-0.02302064,0.015395947,0.0036949608,0.02404601,0.041130092,0.014930293,0.007374493,-0.003882143,0.007958602,-0.015736189,-0.004476087,0.009998168,0.02829446,0.024366314,0.009815231,0.012342971,-0.007186244,-0.0023118441,0.034776364,0.011015095,-0.006411957,0.034758274,0.018958865,-0.012970444,0.0014165821,0.012168675
22554,0.014478851,0.053902492,0.044281155,-0.007462429,0.007971858,0.027526775,0.06191072,0.06611415,0.053790435,0.02584034,0.0032751895,0.04299364,0.017890314,0.01546067,0.03359715,0.06247827,0.015440225,0.021289455,0.049796507,0.0034166214,-0.019021655,0.026547484,0.046082616,0.03590193,0.0858748,0.034288008,0.048035845,0.03177057,0.009356822,0.059668902
22555,0.032236286,0.031147912,0.05623133,0.011756606,-0.00017362088,-0.0134356255,0.030299379,0.06861553,0.031238498,0.014117132,0.017358644,0.036610726,0.04046858,0.024193136,0.021765418,0.042682353,0.01751433,0.016937716,0.024245253,0.050489258,0.019044368,0.016014174,0.011745709,0.03310207,0.056700394,0.06391746,0.0474909,0.016868085,0.009782755,0.042047873
22587,0.005168619,0.032631043,0.07257637,-0.0036496238,0.03314231,0.03531449,0.06624928,0.08490207,0.06773462,0.039239928,0.028768597,0.045605153,0.06467941,0.043839216,0.04820493,0.057876784,0.027285697,0.04300369,0.04688051,0.058785137,0.053575676,0.055682648,0.059267998,0.08118733,0.08387768,0.080475025,0.088472225,0.038731266,0.047531355,0.058270168
22588,0.016325967,0.020863371,0.041942418,0.013572938,-0.0102208285,0.022993011,0.04146007,-0.013766547,0.048277047,0.011432641,0.017920217,0.034009427,-0.016664721,0.0076584406,-0.03255904,0.027591944,0.03482002,0.00029106592,0.020351198,0.03539855,0.03296711,0.026596017,0.01009339,0.021602107,0.037050728,-0.006722841,0.015306064,0.011394671,0.022734351,0.0027400423
22620,0.023581965,0.044130772,0.06301589,-0.0007331601,0.019885601,0.033022683,0.0317502,0.06896667,0.03853833,0.0464151,0.037416574,0.06719316,0.07408101,0.03676717,0.0637166,0.051634908,0.022201492,0.04557073,0.027355999,0.057170082,2.207607e-05,0.037424017,0.07443067,0.06968757,0.0648321,0.08304641,0.086700715,0.056966066,0.03973538,0.0513276
25410,0.023777435,0.032611936,0.050388083,0.027879162,0.0009320192,0.015106157,0.007621216,0.015102782,0.0236559,0.003910191,-0.007023014,0.021400405,0.032215077,0.009665388,-0.0015653111,0.00133237,-0.033921275,-0.020530293,-0.0065863705,0.039448727,0.011131343,0.008438495,0.056675617,-0.007942875,0.0025587224,0.0450474,0.04579818,0.0050600856,0.006166974,0.07602785
25436,0.036457326,0.027764006,-0.008148727,-0.036334332,-0.03223973,-0.016051264,-0.021347312,-0.011201079,-0.022204658,-0.036576997,-0.009778674,-0.025923112,-0.0065320074,-0.0048185824,-0.023279732,-0.004563009,-0.040070426,-0.009873259,-0.045385804,-0.02156085,0.014571733,-0.005990299,-0.005596727,0.0073604435,-0.034017034,-0.014365506,-0.007996388,0.015485247,-0.018825853,-0.012107778
25437,0.0040923255,0.0025515324,0.0070136436,0.011318531,0.0260531,0.009536077,-0.024121957,-0.00925921,0.038520653,0.0011169085,0.0019006381,0.018128427,-0.009902061,-0.025819948,0.01684052,0.028130762,-0.004344207,0.026953997,0.0030381593,0.011363802,0.007590458,-0.012543134,0.035614505,0.003557612,-0.0037284612,0.02260832,-0.0019284571,0.006102381,0.0075756093,0.03622164
25438,0.017376006,0.020383272,0.030142695,0.003768475,0.0057235043,0.021666646,0.019120356,0.015373789,0.05127174,0.012716867,0.0163767,0.04948284,0.03900761,-0.00067666546,0.049321454,0.03924425,0.016783917,-0.00014667858,0.004269975,0.01717616,-0.030828865,0.025941616,0.0028420195,0.0066787098,-2.2812126e-05,0.017673662,0.038399942,-0.00096632954,0.027186677,0.0170347
25466,0.023752026,0.0031566115,0.046251807,0.04698476,0.043225512,0.026152223,0.08520315,0.061361838,0.060574416,0.054965746,0.019869262,0.02073924,0.051508952,0.019239636,0.040919293,0.071878776,-0.015051964,0.055700246,0.0121453265,0.031858537,0.018602317,0.03276135,0.05037241,0.03987893,0.044404697,0.052587274,0.051601008,0.028502353,0.016840002,0.039972886
25467,0.03547884,0.06785321,0.063679725,0.024488019,0.023590108,0.042845175,0.07485919,0.051469713,0.026330568,0.017808573,0.032762185,0.058021758,0.047500625,0.037439372,0.057945147,0.070146255,-0.0040988172,0.020255156,0.04977909,0.049049374,0.025334796,0.06562506,0.079306275,0.06309746,0.03792152,0.06846041,0.085785694,0.031442225,0.028017664,0.086361
25468,0.04374097,0.01418848,0.053886782,0.02296207,0.014840166,0.024950279,0.043521628,0.022338143,0.044967692,-0.0032827787,0.031050174,0.06002065,0.0024624865,0.03214878,0.029900527,0.07358242,0.021637179,0.006107859,0.029615551,0.05469182,0.026022876,0.013029187,0.054657225,0.040579032,0.043541804,0.06082858,0.055590812,-0.004475203,0.030547181,0.057338107
25499,0.02873882,-0.00609963,0.0030744204,0.00856227,0.0064101126,0.026320348,0.052757014,0.03384174,0.02366138,0.02909526,-0.020670556,-0.0013539469,0.031871814,0.02473308,0.038005818,0.027008383,-0.00033634467,0.051565498,0.01126476,0.006584847,-0.0045934436,0.048548322,0.013797898,0.016855972,0.018973172,0.03384642,-0.023694636,0.022194624,0.038535863,0.045392305
25500,0.0038407994,0.06191374,0.07783467,0.031847596,0.05404145,0.0454648,0.081624,0.07307675,0.080009736,0.06749733,0.02295821,0.075610586,0.08281786,0.037279155,0.09262961,0.09018159,-0.0048238947,0.04395974,0.07658762,0.045158613,0.046850894,0.06831003,0.091231205,0.0870094,0.060109545,0.09065139,0.08524588,0.06207308,0.06216089,0.070154555
25501,0.023333171,0.026349239,0.08392579,0.027172154,0.01987773,0.037788387,0.075158186,0.056779858,0.057966094,0.033686217,0.0060394653,0.065190546,0.072980076,0.054474328,0.045150418,0.07133851,-0.006207784,0.0344634,0.0114892945,0.07929399,0.029879296,0.0747173,0.07126098,0.068968624,0.07099369,0.10276886,0.099357754,0.03671077,0.039991383,0.071521945
25536,0.0013723038,-0.016707473,0.029441202,0.010921891,-0.008786115,-0.0036820117,0.029759347,0.02877217,0.010648274,0.036770385,-0.004306901,0.005798135,0.025124349,-0.030759266,0.020982621,0.02219259,-0.011091501,0.033326823,0.028729754,0.05036227,0.017162172,0.039693728,0.036760133,0.044137117,0.024882266,0.033521924,0.04303017,0.018894805,-0.0021218322,0.0015617487
