,turtle,fish,bee,frog,rabbit,cow,cat,dog,raccoon,monkey,rhinoceros,giraffe,elephant,leopard,penguin,tiger,bird,sheep,lion,alligator,bear,deer,goat,horse,squirrel,camel,ant,kangaroo,donkey,zebra
12572,0.014806139,0.007120747,-0.009510083,-0.02010964,0.008271431,0.0049018622,0.009157766,0.0049922946,0.0064739063,0.0040070578,-0.025350498,0.004024738,0.01346277,0.011043607,0.02709187,0.0013344536,0.010218565,0.016572881,0.03941908,-0.026899487,0.018714001,0.020407176,-0.001705161,-0.0028199127,0.028189808,-0.007604001,0.0023964583,-0.010974999,0.017459063,0.0046923435
12617,-0.013702317,-0.05755141,-0.04528222,0.012048975,-0.009218737,-0.018835323,0.013657585,-0.011089303,0.017251274,0.02081666,-0.021181414,-0.0024072193,-0.036026347,-0.018846437,-0.0009669503,-0.019045716,0.005800899,0.026269699,0.017714107,0.0008959871,-0.008836984,-0.0056359842,0.002652634,0.0078141065,0.0069738887,0.026414083,0.019460106,-0.018528575,0.008975738,-0.01675337
12618,-0.004005624,0.00011001589,0.009764965,-0.003387476,0.013725791,0.009170032,0.029298842,0.018716123,0.0077818665,0.015762491,0.007928756,0.002217959,0.028172985,-0.0068711718,-0.0022254947,0.046480235,0.017373452,-0.003732255,0.010125809,0.018272761,0.015031576,0.0012741633,-0.0077442345,0.012828975,0.0046697906,0.0028401327,0.01884989,0.025182659,0.0399534,0.012313086
12664,0.038058653,-0.012268554,0.019730072,0.018043494,0.015111022,-0.0009769312,0.101626426,0.02702348,0.06692069,0.056064803,0.025277874,-0.007580055,0.033776596,0.0391362,0.010502137,0.052095484,-0.046239544,0.016628886,0.03919987,0.037466567,0.010102465,-0.0065169036,0.04564969,0.028246233,0.062002465,0.06268281,0.03344882,0.051672865,0.05551828,0.020934382
12665,0.019321363,0.020224761,0.010948823,0.015257605,-0.0040851184,-0.009151275,0.05460274,0.010033457,0.024622716,0.026792198,0.011271812,-0.0084531875,0.0074660075,0.010318515,0.004634505,0.053314835,0.009958142,0.023845317,-0.008425022,0.031860318,0.016566133,0.012657334,0.03886338,0.025747133,-0.005213034,0.026715865,0.042394135,0.048996914,0.007593391,0.040111985
12711,0.00860463,0.019707434,0.027794965,-0.015981212,0.0040413807,0.006135851,0.07126098,0.060033705,0.069047816,0.04911332,0.0003519434,0.049483273,0.032184042,0.05333085,0.04176821,0.04665366,0.022995895,0.038952474,0.059103567,0.034533825,0.014137253,-0.005597435,0.06712931,0.02745174,0.028669393,0.052646037,0.039273906,0.07790511,0.048431084,0.0017520972
12712,0.02661132,0.018858058,-0.0054748678,0.0007187114,-0.00020878296,-0.026766261,0.06099016,0.010531888,0.021243269,0.023918578,0.015800724,0.0097679095,0.027686216,0.033808365,0.008120245,0.04007395,0.038388286,0.009897676,0.010552217,0.019519283,0.03040831,0.025091311,0.032062225,0.013060742,0.00782743,0.023900652,0.034848783,0.051979695,0.00855836,0.0010616627
12760,0.030411512,0.0208363,0.017642254,0.0029506944,0.010205894,0.0034009665,0.020002065,0.043485086,0.055787086,0.03378952,-0.027131489,0.013295666,0.014004952,0.0231348,-0.01488594,0.021309791,0.03161276,0.029753976,0.03835322,0.034475103,0.028649276,-0.037413426,0.029461823,0.028947078,0.022552399,0.012101379,0.0292908,0.034226876,0.038470432,-0.002501006
12761,0.026168838,0.044263404,0.01949152,0.0062210914,0.025893532,-0.020134263,0.02545985,0.022256413,0.0037626245,0.023972722,0.0029014398,0.035596237,0.01678943,0.015747322,0.021205856,0.025342869,0.021872299,-0.008671415,0.013043365,0.016401665,0.031030683,-0.011360648,0.0045259073,0.015610193,0.009252769,-0.0030074595,0.051022273,0.032115635,-0.009199849,-0.014543404
12762,0.015640963,-0.010405495,-0.016500704,0.0075322706,0.0034065035,0.022748286,0.023154272,-0.0050548282,0.017272605,-0.007353606,0.011337484,0.0026258163,0.022426812,-0.01975217,-0.006323401,-0.008660232,0.005276736,-0.05265157,0.000830712,0.012021985,0.012205828,0.014347065,-0.02042905,0.001247452,0.019933356,-0.02208224,0.020640912,0.009703881,-0.009192857,0.0057032015
