,turtle,fish,bee,frog,rabbit,cow,cat,dog,raccoon,monkey,rhinoceros,giraffe,elephant,leopard,penguin,tiger,bird,sheep,lion,alligator,bear,deer,goat,horse,squirrel,camel,ant,kangaroo,donkey,zebra
148300,-0.021753982,-0.0149718495,-0.009162679,0.0211035,-0.021788107,-0.031894334,0.0022175687,-0.0016947758,-0.020451657,-0.0062945015,-0.035801027,-0.01815259,0.008215811,-0.0049829795,-0.03982633,0.015683709,-0.047964275,0.020655438,-0.00021273673,-0.006372124,0.0019259102,0.020990504,-0.00791967,0.008918188,0.0049306215,-0.019468183,-0.045482706,0.006086409,0.021422759,-0.0026821073
148351,-0.036528066,0.06004331,0.034237355,0.07553177,0.022828035,0.037306573,0.0772655,0.038317684,0.021026812,0.026435047,0.05010979,0.03858054,0.02217271,0.012009252,0.022034287,0.034858026,0.024498334,0.02682153,0.013538017,0.042460863,0.005088028,0.06489959,0.05020408,0.027165556,0.05817767,0.0050496645,0.006692574,0.05090402,0.053272054,0.019336373
148352,0.042972054,0.0013277344,0.0129203275,0.03587905,0.022458531,0.015417516,0.034166742,0.02470947,0.023900481,0.010034743,0.057466578,-0.0048537557,0.030985462,0.0653848,0.0039247815,0.010647226,0.0129033625,0.014869354,0.0083871605,0.03043518,0.004270773,0.0084663145,0.04377838,0.050834168,0.071998805,0.046392262,0.0074707693,0.023116425,0.041618515,0.044454407
148403,0.063980296,0.06340914,0.067806,0.06451408,0.016362695,0.053584814,0.10326784,0.10099059,0.076978356,0.054441784,0.034790795,0.060589895,0.07111172,0.055323858,0.066162914,0.08178652,0.035607703,6.9134556e-05,0.07450128,0.07685797,0.059439257,0.06227143,0.05280821,0.0623003,0.06853429,0.049704652,0.082169004,0.039740533,0.060098365,0.09665185
148461,0.06953154,0.018203327,0.080306254,0.0728968,0.036171686,0.04148468,0.08864286,0.10280741,0.061705608,0.054322958,0.03889713,0.06024523,0.09007143,0.039890498,0.06268548,0.058130965,0.014918559,0.04229552,0.080808945,0.06974491,0.07226861,0.07946517,0.084882446,0.07315154,0.08111202,0.079446375,0.086212724,0.07205217,0.070597835,0.035181556
148462,0.040556524,0.06107847,0.101457976,0.052781772,0.046174947,0.087174095,0.105392516,0.11229674,0.08847519,0.083234996,0.045588836,0.084756166,0.070261605,0.077754915,0.08425307,0.055797298,0.054416656,0.06587496,0.099277794,0.09622794,0.054487053,0.053430114,0.0919568,0.07197469,0.07359154,0.084050626,0.09039124,0.08284856,0.058235247,0.081745416
151634,-0.06330862,-0.009493715,-0.029035822,0.013492203,-0.0140080815,-0.011212739,0.028268943,-0.0026817434,-0.018922692,0.0026934326,-0.043399498,0.00540801,-0.004303441,-0.024074206,-0.016698081,0.025979074,-0.04479235,-0.026269624,0.008530273,0.0026364205,0.012712414,-0.013008711,-0.0047899396,-0.005716059,-0.0062064393,-0.03657824,0.0127028385,-0.014454012,0.015384182,-0.04677501
151635,0.00044972263,-0.008801583,-0.008529191,0.028302103,0.010841775,0.01737572,0.026076427,0.030929878,0.040533002,0.048009366,0.005233468,0.014296025,0.029500604,0.00986325,-0.011962484,0.028307015,-0.0028695266,0.0031820897,0.046296403,0.040389664,0.018733645,0.031793635,0.05908804,0.009470691,0.005936689,0.0033290864,-0.0048910095,0.011925158,0.031338915,0.020762838
151686,-0.010482372,0.015458405,0.060432825,0.03936748,0.022203704,-0.010095093,0.09502729,0.073975645,0.056188423,0.032403562,0.041128587,0.025169255,0.042133827,0.029922048,0.0072541707,0.04748359,0.0054072384,0.01660849,0.026781658,0.055794418,0.025601387,0.026846642,0.027978858,0.0025243664,0.023565521,0.019819794,0.034693196,0.023632517,0.058831174,0.024521599
151687,0.04889594,0.055652667,0.055967692,0.054382835,0.043547336,0.039979856,0.06839665,0.055005044,0.08080267,0.0519314,0.022950692,0.022280252,0.037343346,0.061535403,0.038524438,0.058681667,0.053479377,0.04106836,0.037972126,0.0657056,0.030475773,0.031773616,0.07306139,0.029777894,0.028750224,0.036996316,0.04997066,0.06361716,0.038982652,0.07253678
151689,0.08082065,0.044970628,0.12743661,0.06295563,0.06136568,0.056115065,0.0879632,0.11104569,0.10987713,0.07517696,0.049113944,0.04999425,0.05832364,0.07600975,0.06811446,0.09573714,0.054385826,0.048369166,0.08447701,0.064048775,0.054116696,0.066040345,0.059262205,0.049584176,0.091923,0.039097086,0.09693256,0.05373854,0.07975862,0.04898718
151690,0.05373926,0.0440785,0.05536207,0.030712299,0.0263286,0.037697967,0.0890888,0.11302335,0.0951445,0.061085183,0.03866945,0.030396098,0.064123295,0.058283675,0.03381523,0.081413664,0.07189555,0.043975234,0.032059025,0.03489558,0.046748232,0.036567956,0.027974077,0.03395435,0.056981016,0.036264837,0.04548375,0.03578796,0.06256896,0.022265084
151691,0.047947094,0.0036660929,0.03829376,-0.0007712091,0.02359817,0.011884226,0.06163293,0.05440109,0.07434142,0.033794265,0.042846527,0.013805362,0.056811344,0.058896024,0.04541533,0.025728865,-0.007841109,0.046250407,0.02459588,0.032845195,-0.00018669727,0.06044382,0.028451668,0.032471877,0.054962333,0.03597139,0.030982146,0.057486027,0.022296324,0.02406613
