concept,fMRI-sub01-cos,Avg-realness,Avg-realness-conf,CLIP visual similarity,phylo-dist [log],fMRI-sub01-euc
bee_raccoon,0.561158359,1.5,3.6,0.9,6.53,1.429819195
bird_ant,0.632808626,1.2,3.8,0.87,6.53,1.435743695
ant_raccoon,0.534210384,1.2,3.8,0.86,6.53,1.506724584
deer_fish,0.667584896,1,3.8,0.88,6.14,1.466256686
bear_frog,0.579385877,1.2,3.7,0.86,5.86,1.438504465
alligator_rhinoceros,0.656641424,1.1,3.7,0.89,5.77,1.379740337
rhinoceros_alligator,0.656641424,1.2,3.8,0.89,5.77,1.379740337
alligator_turtle,0.606912971,1.2,3.7,0.89,5.56,1.397270503
kangaroo_camel,0.56523329,1.5,3.8,0.9,5.08,1.366503293
horse_kangaroo,0.634177923,1.2,3.7,0.89,5.08,1.232731031
elephant_deer,0.666554868,1.2,3.8,0.9,4.6,1.232731031
squirrel_cat,0.455227286,1.7,3.7,0.92,4.54,1.43325832
rabbit_deer,0.674045324,1.3,3.7,0.91,4.54,1.623476182
bird_deer,0.651248932,1.2,3.8,0.88,5.77,1.188988367
frog_turtle,0.608734906,1.4,3.7,0.88,5.77,1.188988367
bird_horse,0.671415269,1.1,3.8,0.87,5.77,1.326465663
horse_bird,0.671415269,1.2,3.8,0.87,5.77,1.378728752
kangaroo_horse,0.634177923,1,3.8,0.89,5.08,1.276722718
raccoon_rabbit,0.567737043,1.6,3.6,0.9,4.54,1.172999843
horse_monkey,0.756124735,1.9,3.7,0.88,4.54,1.013073918
rabbit_camel,0.664477468,1.4,3.6,0.88,4.54,1.44653857
monkey_dog,0.711706698,1.2,3.7,0.87,4.54,1.157776139
monkey_squirrel,0.53648138,1.6,3.7,0.91,4.47,1.326887133
horse_goat,0.69987464,1.7,3.5,0.93,4.33,1.188303736
giraffe_zebra,0.320603341,1.7,3.9,0.92,4.33,1.593647791
horse_cow,0.632206261,1.8,3.6,0.92,4.33,1.126514081
rhinoceros_cow,0.640236199,2,3.7,0.92,4.33,1.186773758
zebra_deer,0.660762787,1.8,3.6,0.92,4.33,1.355892504
cow_lion,0.642164528,1.7,3.7,0.91,4.33,1.175623295
donkey_cow,0.541057825,1.7,3.6,0.91,4.33,1.154959603
lion_cow,0.642164528,1.2,3.7,0.91,4.33,1.175623295
bear_cow,0.595714092,2.9,3.6,0.9,4.33,1.205077338
camel_rhinoceros,0.614736736,1.6,3.7,0.9,4.33,1.559517407
cat_sheep,0.430693597,1.9,3.5,0.9,4.33,1.419302692
giraffe_donkey,0.310530603,2,3.6,0.9,4.33,1.370067426
giraffe_lion,0.259370953,1.1,3.7,0.9,4.33,1.627535271
cow_dog,0.631942093,1.2,3.8,0.89,4.33,1.222994957
giraffe_dog,0.21131736,1.4,3.7,0.89,4.33,1.7151498
leopard_zebra,0.672142029,1.5,3.6,0.91,4.26,1.255686757
donkey_dog,0.458183736,2.3,3.6,0.89,4.26,1.460993159
cat_dog,0.553216457,3,3.7,0.94,4.01,1.40517157
lion_bear,0.604364157,1.5,3.6,0.92,4.01,1.304792887
raccoon_rabbit,0.567737043,1.6,3.6,0.9,4.54,1.172999843
bear_leopard,0.609907806,1.3,3.7,0.91,4.01,1.326336703
rhinoceros_horse,0.686090469,1.2,3.7,0.91,4.01,1.154497658
raccoon_lion,0.539642394,2,3.5,0.88,4.01,1.348942111
tiger_raccoon,0.487551332,1.8,3.6,0.88,4.01,1.280385758
dog_bear,0.60088402,1.3,3.7,0.92,3.81,1.335806339
dog_raccoon,0.570504189,1.2,3.8,0.88,3.81,1.334328241
deer_sheep,0.49039644,1.7,3.5,0.92,3.14,1.552391284
