concept,sim-sub01,sim-sub02,sim-sub03,Avg-realness,CLIP visual similarity,Category
guitar_piano,0.41606763,0.698065519,0.532507956,3.8,0.920771003,objects
bus_piano,0.379168004,0.691708088,0.307469815,3.4,0.892182678,objects
Bear_Cow,0.595714092,0.823672235,0.446110725,2.9,0.897106767,animals
Cat_dog,0.553216457,0.869249284,0.695376396,3,0.936485648,animals
Cow_dog,0.631942093,0.86976558,0.486930102,1.2,0.893771529,animals
microscope_hammer,0.565803945,0.780349135,0.4615345,2.333333333,0.889307499,objects
Horse_Cow,0.632206261,0.893378317,0.502230525,1.8,0.916966111,animals
bottle_brush,0.06946709,0.737283766,0.557467103,2.125,0.854751021,objects
Lion_Bear,0.604364157,0.807637751,0.483875573,1.5,0.91681537,animals
chair_scissors,0.613281369,0.653780818,0.392924577,1.666666667,0.843909323,objects
couch_trumpet,0.021159973,0.535151422,0.300666541,1.666666667,0.866970241,objects
Horse_monkey,0.756124735,0.887245893,0.645942211,1.9,0.881579638,animals
Rhinoceros_Horse,0.686090469,0.848445892,0.44430393,1.2,0.908398062,animals
Cow_Lion,0.642164528,0.863989592,0.415821433,1.7,0.905081034,animals
Rhinoceros_Cow,0.640236199,0.86022687,0.281865895,2,0.917234421,animals
Horse_Kangaroo,0.634177923,0.872090757,0.661101162,1.2,0.891037285,animals
Dog_Bear,0.60088402,0.80007565,0.599010468,1.3,0.920418859,animals
Cat_Sheep,0.430693597,0.807296813,0.383797795,1.9,0.901600331,animals
Kangaroo_horse,0.634177923,0.872090757,0.661101162,1,0.891037285,animals
microscope_axe,0.742301524,0.882985711,0.632518172,1.333333333,0.852699757,objects
umbrella_chair,0.712754965,0.686928391,0.431934506,1.333333333,0.865559161,objects
Trumpet_boat,0.669715106,0.777564526,0.57953614,1.333333333,0.867822528,objects
knife_chair,0.488951653,0.665055156,0.471812636,1.333333333,0.829923511,objects
Monkey_Dog,0.711706698,0.87648344,0.656222582,1.2,0.873120964,animals
lion_cow,0.642164528,0.863989592,0.415821433,1.2,0.905081034,animals
Bear_frog,0.579385877,0.777661026,0.421449453,1.2,0.859520376,animals
microscope_kite,0.716635227,0.719718695,0.455360621,1,0.842284292,objects
Frog_Turtle,0.608734906,0.871046185,0.423211813,1.4,0.884177089,animals
Giraffe_Lion,0.259370953,0.710666001,0.490792394,1.1,0.895871639,animals
Giraffe_Dog,0.21131736,0.730787337,0.563862741,1.4,0.885914594,animals
