concept,sub01-cosine,sub01-corr.,Avg-realness,Avg-realness-conf,CLIP realness,CLIP visual similarity,phylo-dist [log]
bee_raccoon,0.284412063,0.503362288,1.5,3.6,0.9,0.9,6.53
bird_ant,0.24348316,0.546628268,1.2,3.8,0.88,0.87,6.53
ant_raccoon,0.308668723,0.551191074,1.2,3.8,0.96,0.86,6.53
deer_fish,0.205899059,0.437646889,1,3.8,0.6,0.88,6.14
bear_frog,0.306393552,0.565707594,1.2,3.7,0.82,0.86,5.86
alligator_rhinoceros,0.217568356,0.470856547,1.1,3.7,0.59,0.89,5.77
rhinoceros_alligator,0.217568356,0.470856547,1.2,3.8,0.8,0.89,5.77
alligator_turtle,0.226374036,0.474655212,1.2,3.7,0.93,0.89,5.56
kangaroo_camel,0.313389797,0.581609205,1.5,3.8,0.83,0.9,5.08
horse_kangaroo,0.251047203,0.451819525,1.2,3.7,0.61,0.89,5.08
elephant_deer,0.193869221,0.390277091,1.2,3.8,0.68,0.9,4.6
squirrel_cat,0.492296444,0.645891479,1.7,3.7,0.79,0.92,4.54
rabbit_deer,0.23278556,0.432966277,1.3,3.7,0.85,0.91,4.54
bird_deer,0.266715251,0.570969475,1.2,3.8,0.55,0.88,5.77
frog_turtle,0.227526275,0.464465416,1.4,3.7,0.97,0.88,5.77
bird_horse,0.239578013,0.488125547,1.1,3.8,0.73,0.87,5.77
horse_bird,0.239578013,0.488125547,1.2,3.8,0.73,0.87,5.77
kangaroo_horse,0.251047203,0.451819525,1,3.8,0.75,0.89,5.08
raccoon_rabbit,0.286140918,0.467106666,1.6,3.6,0.95,0.9,4.54
horse_monkey,0.142487977,0.29603728,1.9,3.7,0.76,0.88,4.54
rabbit_camel,0.234432635,0.435104542,1.4,3.6,0.83,0.88,4.54
monkey_dog,0.189411145,0.392892792,1.2,3.7,0.93,0.87,4.54
monkey_squirrel,0.404201651,0.514709509,1.6,3.7,0.83,0.91,4.47
horse_goat,0.206225873,0.407472045,1.7,3.5,0.72,0.93,4.33
giraffe_zebra,0.555846349,0.581227177,1.7,3.9,0.54,0.92,4.33
horse_cow,0.187726584,0.380602923,1.8,3.6,0.61,0.92,4.33
rhinoceros_cow,0.209158399,0.428854548,2,3.7,0.66,0.92,4.33
zebra_deer,0.193860138,0.383578706,1.8,3.6,0.56,0.92,4.33
cow_lion,0.25941135,0.520420916,1.7,3.7,0.82,0.91,4.33
lion_cow,0.25941135,0.520420916,1.2,3.7,0.86,0.91,4.33
bear_cow,0.279683666,0.506869319,2.9,3.6,0.91,0.9,4.33
camel_rhinoceros,0.225334491,0.463188794,1.6,3.7,0.86,0.9,4.33
cat_sheep,0.47059835,0.637875966,1.9,3.5,0.88,0.9,4.33
giraffe_lion,0.684237553,0.760773019,1.1,3.7,0.71,0.9,4.33
cow_dog,0.244235063,0.492950268,1.2,3.8,0.85,0.89,4.33
giraffe_dog,0.653744625,0.717231301,1.4,3.7,0.91,0.89,4.33
leopard_zebra,0.195948903,0.365272435,1.5,3.6,0.58,0.91,4.26
cat_dog,0.280334089,0.507903213,3,3.7,0.95,0.94,4.01
lion_bear,0.306239892,0.539511413,1.5,3.6,0.87,0.92,4.01
raccoon_rabbit,0.286140918,0.467106666,1.6,3.6,0.95,0.9,4.54
bear_leopard,0.274031171,0.47661189,1.3,3.7,0.85,0.91,4.01
rhinoceros_horse,0.194558542,0.38450348,1.2,3.7,0.77,0.91,4.01
raccoon_lion,0.333723574,0.56774591,2,3.5,0.95,0.88,4.01
tiger_raccoon,0.336796389,0.502811526,1.8,3.6,0.9,0.88,4.01
dog_bear,0.347818214,0.616027834,1.3,3.7,0.89,0.92,3.81
dog_raccoon,0.330348492,0.563723155,1.2,3.8,0.97,0.88,3.81
deer_sheep,0.435993172,0.598397141,1.7,3.5,0.71,0.92,3.14
