,bird,tiger,donkey,rabbit,deer,camel,goat,sheep,cat,kangaroo,rhinoceros,penguin,frog,lion,dog,squirrel,bear,turtle,elephant,ant,horse,alligator,raccoon,cow,leopard,monkey,giraffe,bee,fish,zebra
14581,0.03314792,0.017672192,-6.322345e-05,-0.009106645,0.027105788,0.06918744,0.07412118,0.018491266,-0.004089621,0.03478061,0.036468998,0.039096855,0.05357763,-0.009742823,0.041045204,0.026654685,-0.0016266865,0.013650115,0.009277778,0.04084477,0.016768752,0.020000342,0.044365406,0.015507363,0.019983845,0.038266808,0.006042425,0.021377236,-0.0027809155,0.033469852
14582,0.01663054,0.022275358,0.023733856,0.013968182,0.0008401284,-0.00036881818,0.045127492,0.0032416536,-0.012464978,0.009732959,0.053789962,0.033590816,0.04718338,-0.043740753,0.012147927,0.03639162,-0.0012360085,0.02480477,0.0130751645,0.025160274,0.017300336,0.0087664975,0.033098172,0.018670436,0.00035596514,0.020661365,0.0048720287,-0.011735432,-0.002430341,0.017000007
14626,-0.0076940376,0.02957909,0.016743742,-0.0253925,0.030006036,0.023982065,0.04565767,0.020723654,0.0065438836,0.027933925,0.056716044,0.033966802,0.054939922,0.0021945213,0.010197042,0.044326868,0.011038327,0.031953797,-0.000556161,0.03638782,0.01232336,0.0061495914,0.020502957,0.019043876,0.005591908,0.035107687,-0.014289086,-0.0008140672,0.022877758,0.043346893
14627,0.02614004,0.039823104,0.021163745,-0.0013025204,0.01760616,0.016414689,0.07334141,0.011393945,0.01101292,0.027282702,0.027979745,0.041064985,0.027219588,0.00025742967,0.022825152,0.013462931,-0.01072364,0.011486404,0.017067043,0.026577907,0.023293654,-0.010820284,0.029248133,-0.0022454564,0.02174592,0.011654762,-0.009407976,0.0032023329,0.0013335278,0.022042215
17171,0.03388226,-0.011524322,0.03558231,0.0003430356,-0.014372609,0.019478548,-0.0054281563,-0.027606003,0.029264456,0.029892964,0.019629765,-0.0027574704,0.03758021,-0.004838449,0.02319743,0.01652261,0.007366305,0.025796475,0.015659252,0.027221398,0.015481892,0.015833355,0.02958235,0.017907994,0.0642395,0.0164065,-0.007399103,0.0046572923,0.023442075,0.021178111
17214,-0.014799867,0.008376082,0.006551351,-0.013740453,0.005528435,0.003639305,-0.014922254,-0.002952478,-0.0064498135,-0.012318051,-0.0054699033,-0.0014561862,-0.02129881,-0.009525947,-0.019335834,0.029403096,-0.017210161,-0.0280893,-0.021932201,-0.0066074333,-0.0017558463,0.019474648,0.0044540656,0.00020158105,0.011248169,-0.010125758,-0.0061182943,-0.0007655577,0.027682932,-0.00985745
17215,0.012990368,0.0015846702,-0.0034219967,-0.00435414,0.011714771,0.011679827,-0.010659057,0.0155818565,0.038134,0.01219828,0.0006477305,-0.007188195,0.03691462,-0.013224621,0.016674599,0.015515839,-0.00969622,0.022307113,0.010213185,-0.009659064,-0.00088547374,-0.0037673085,0.020559164,0.011238796,0.02414556,0.026366264,-0.028638646,-0.0012709405,0.013068966,0.014819972
17257,0.0075034015,-0.011930537,0.006784436,-0.010413373,0.00827778,0.012462801,0.03396115,0.021447638,0.0012838483,0.0022865336,0.021172732,0.004330508,0.015621197,0.03864037,0.022181429,0.016115407,-0.009722392,0.021483168,0.033104185,0.013962585,0.00082271703,-0.0035025673,0.017998701,0.011355228,0.03640279,0.011232365,-0.014476971,0.0033241485,0.01532726,0.026695132
17259,0.014831872,0.018165544,0.019299708,-0.016589517,-0.016034642,-0.012495716,-0.02900821,0.0029850209,-0.03661023,-0.0063048224,0.005644115,0.030766686,-0.011894093,-0.013121036,0.012647368,-0.005249347,0.027604962,-0.0127327265,-0.011626315,-0.025754297,0.014564144,-0.01848633,0.0077512492,-0.010982568,0.00066997577,-0.027614452,0.012857479,0.0063144527,0.011359263,-0.00088225305
17301,-0.0010086643,0.009743027,-0.009732586,-0.027581096,-0.009777925,-0.030755734,0.013007981,-0.0032115479,0.03216752,-0.028381674,-0.004689696,-0.040606156,-0.030735387,-0.009357223,0.0072621163,-0.006540444,-0.05067767,0.022449205,0.027335724,-0.019827472,-0.017046439,-0.0043495363,0.040040623,-0.027702415,-0.018276196,-0.0081048105,-0.032737833,-0.022227608,-0.014903854,0.0034501988
