,bird,tiger,donkey,rabbit,deer,camel,goat,sheep,cat,kangaroo,rhinoceros,penguin,frog,lion,dog,squirrel,bear,turtle,elephant,ant,horse,alligator,raccoon,cow,leopard,monkey,giraffe,bee,fish,zebra
12253,0.06464069,0.0412713,0.047235712,0.017980726,0.06161275,0.036429066,0.03667652,0.038642723,0.03312389,0.04334864,0.022766992,0.019393029,0.03134817,0.009538912,0.039019052,0.032091096,0.012900487,0.029338032,0.054439366,0.033891518,0.014332266,0.035565108,0.06461641,0.0010800525,0.03123065,0.03169166,0.04983476,0.02925515,0.047974672,0.060493216
12286,0.063275136,0.05771491,0.028165689,0.039505657,0.061620235,0.06298315,0.05145751,0.041448858,0.064091146,0.043281097,0.024991686,0.043704122,0.06349299,0.068809934,0.04106995,0.061981793,0.030510373,0.037183367,0.04610677,0.055747703,0.041584548,0.057597682,0.08329237,0.028960483,0.03474402,0.032469813,0.069537155,0.0889259,0.058304638,0.08507969
12318,0.043700725,0.07238491,-0.020267723,0.017326048,-0.0012010621,0.037915766,0.032928552,0.029983403,0.082317464,0.032347217,-0.017864872,0.012443212,0.0033353034,0.022289297,0.033052817,0.022740288,0.029113052,-0.010162797,0.051444486,0.030076236,0.029256761,0.028409101,0.04921338,0.03900524,0.03574947,0.037206072,0.03241094,0.029146204,0.012552763,-6.655968e-05
12319,-0.05601489,0.0022154755,-0.03060426,-0.03996221,-0.018356284,-0.04936378,-0.048114676,0.010980543,-0.02877158,-0.032194365,-0.035453577,-0.011829491,-0.01986508,-0.038418833,-0.011169356,-0.013197114,-0.05879621,-0.012619584,-1.0657434e-05,0.010574496,-0.029926099,-0.036506835,-0.02187296,-0.04663605,-0.02701999,-0.014805975,-0.017111378,-0.02346407,0.005012946,-0.02009034
12320,-0.0033824437,0.010802976,-0.009978076,0.02314464,0.029139837,0.017506072,0.0023038525,-0.01856319,0.044303913,0.005711177,0.0030489962,0.018610356,0.008072044,0.025368003,0.02585494,0.049261615,0.018965593,0.030748928,0.037288193,0.025409484,0.024716422,0.030744126,0.05583957,0.026218357,0.00822268,0.004711861,0.014177517,0.03415886,0.03678624,0.014465223
12353,-0.032575004,0.006355489,-0.01744183,-0.017677529,-0.026423967,-0.047333945,-0.03653303,-0.007937198,-0.054252867,-0.025677918,-0.02448994,-0.015130592,-0.054136053,-0.0475527,-0.021128416,-0.014966045,-0.042042267,-0.036743782,-0.040744502,-0.019256204,-0.03557357,-0.046541035,0.00015158641,0.004795397,-0.026392087,-0.014654651,-0.025441937,-0.053782087,-0.022772253,-0.016508615
12354,0.015982196,0.02243946,-0.03423633,0.01474153,0.018259509,0.025584616,0.010611206,0.02151022,0.019056385,0.036326397,0.00040677935,0.022898594,-0.0065196813,0.003972911,0.039001033,0.03306752,0.019802736,-0.004372122,0.023128092,-0.020860247,0.0011052153,0.020347254,0.010260962,0.0036374659,0.01238007,0.0029466867,0.011553247,0.030058691,0.018577991,0.010237244
14586,0.00956185,0.04341544,0.005962569,0.0442555,0.04329005,0.020935575,0.04681844,0.02162877,0.060932267,0.038669012,0.0102731725,0.03738366,0.021503085,0.04194033,0.033191323,0.055980083,0.002040874,0.0050961226,0.061298963,0.016222522,0.030755406,0.015654754,0.071191184,0.042001396,0.0041392255,0.0432508,0.03500549,0.04453604,0.03523932,0.040357474
14618,0.0059861876,0.0834103,0.026947597,0.012679961,0.06555144,0.02891689,0.08970352,0.012487286,0.0757959,0.071331926,0.03069655,0.0645124,0.013304201,0.028641775,0.07485762,0.05056001,0.014399105,0.041149665,0.04805615,0.050635014,0.072680786,0.062584385,0.06841513,0.04871202,0.04874106,0.06901278,0.031793825,0.027323669,0.05034655,0.047926065
14650,0.037186977,-0.00016138081,0.03203023,0.009670751,0.035957646,0.017465021,0.06362863,0.023155985,0.06350212,-0.0023795853,0.02551729,0.0015311865,-0.006158086,0.004801939,0.022649348,0.0007959834,0.022983715,0.032258563,0.010339407,0.024554586,0.03226103,0.014909197,0.025168063,0.029112883,0.039798826,0.024469309,0.014199048,-0.0046197656,0.011086813,0.0011833018
