,Concept,Cosine Similarity,Correlation
0,bee_raccoon,0.3724956512451172,0.5618133544921875
1,ant_raccoon,0.3922908306121826,0.6291718184947968
2,deer_fish,0.5729137361049652,0.6820135414600372
3,bear_frog,0.5785505473613739,0.7394771575927734
4,alligator_rhinoceros,0.6348702311515808,0.6977797746658325
5,rhinoceros_alligator,0.6348702311515808,0.6977797746658325
6,frog_turtle,0.5767881870269775,0.7222108244895935
7,alligator_turtle,0.44116443395614624,0.6271750330924988
8,kangaroo_camel,0.3751124143600464,0.5562343597412109
9,horse_kangaroo,0.33889883756637573,0.5264988243579865
10,kangaroo_horse,0.33889883756637573,0.5264988243579865
11,elephant_deer,0.5837218761444092,0.6983081996440887
12,squirrel_cat,0.3427780270576477,0.5261523127555847
13,rabbit_deer,0.5405289232730865,0.6564825475215912
14,raccoon_rabbit,0.37399816513061523,0.5207055807113647
15,horse_monkey,0.35405778884887695,0.5246945917606354
16,rabbit_camel,0.4486140012741089,0.6149379014968872
17,monkey_dog,0.3437774181365967,0.5049939751625061
18,monkey_squirrel,0.3623088002204895,0.5247991979122162
19,horse_goat,0.3968726396560669,0.5584709942340851
20,giraffe_zebra,0.46864962577819824,0.6332948803901672
21,horse_cow,0.49776947498321533,0.612839013338089
22,rhinoceros_cow,0.7181341052055359,0.7751820087432861
23,zebra_deer,0.588123619556427,0.7126272022724152
24,cow_lion,0.5841785669326782,0.6965548992156982
25,donkey_cow,0.5948768556118011,0.7183792293071747
26,lion_cow,0.5841785669326782,0.6965548992156982
27,bear_cow,0.553889274597168,0.6763029992580414
28,camel_rhinoceros,0.6501851081848145,0.7160120606422424
29,cat_sheep,0.6162022054195404,0.7003806829452515
30,giraffe_donkey,0.5433844327926636,0.7382367253303528
31,giraffe_lion,0.5092076063156128,0.6736193895339966
32,cow_dog,0.5130698978900909,0.6314451098442078
33,giraffe_dog,0.43613725900650024,0.6296520233154297
34,leopard_zebra,0.5822405219078064,0.726612389087677
35,donkey_dog,0.4422551393508911,0.6173490285873413
36,cat_dog,0.3046236038208008,0.47672468423843384
37,lion_bear,0.516124427318573,0.6835389733314514
38,rabbit_raccoon,0.37399816513061523,0.5207055807113647
39,bear_leopard,0.499253511428833,0.6344700455665588
40,rhinoceros_horse,0.5556960701942444,0.5976901352405548
41,raccoon_lion,0.46667349338531494,0.6288255155086517
42,tiger_raccoon,0.43184709548950195,0.6356226205825806
43,dog_bear,0.4009895324707031,0.5797184109687805
44,dog_raccoon,0.348591148853302,0.5197545289993286
45,deer_sheep,0.6835320591926575,0.7507708817720413
