,donkey,horse,bear,sheep,rabbit,elephant,goat,frog,tiger,dog,cat,lion,turtle,monkey,raccoon,cow,giraffe,fish,alligator,zebra,deer,squirrel,kangaroo,leopard,bee,ant,camel,bird,penguin,rhinoceros
7942,0.0197197,0.008194526,0.0068163113,-0.016431948,0.019324232,0.00095402147,-0.012303531,0.028994823,0.02137466,-0.013831665,5.0681334e-05,-0.005357606,0.004788509,0.0071072164,-0.0065745027,0.009081115,0.004294638,0.015413083,0.03796503,0.015076667,0.017392367,0.013883374,0.0004984171,0.0027669433,0.0069307815,0.031625528,0.038086258,-0.0036501957,0.008504336,-0.00064102
7966,0.027407201,0.011920481,-0.0024725655,-0.029812163,0.0012657554,0.0059296284,-0.007990488,-0.016171927,0.018028816,-0.0025142168,0.0053130183,-0.012059312,0.0070954715,-0.008298013,0.007204797,5.6076795e-05,0.021910543,-0.008726298,0.030988032,-0.012457855,-0.012983124,-0.009945865,-0.022768525,-0.042561334,0.017129757,0.015150453,0.035638284,0.020105086,-0.007840189,-0.001832632
7967,-0.011998362,0.005616237,-0.024771987,0.0057090386,0.013195789,-0.01206955,0.00091331574,-0.02996026,-0.006722105,0.008210976,-0.0074163433,0.012348075,-0.015942357,-0.0066115297,0.011455887,0.011293472,0.0033935253,0.031439938,0.011644851,0.0056338906,-0.018786967,-0.019490298,-0.011739659,0.028336564,-0.0047365986,0.015393135,-0.0052519552,0.008693525,0.0075607137,-0.0034290478
7970,0.0013790423,-0.0041750427,-0.008979939,0.017447162,0.008839568,0.014048863,0.0024533842,-0.007434277,0.04104811,-0.026504762,-0.0032839582,0.0032115988,-0.011301584,0.0110587105,-0.024085114,-0.010251263,-0.026484659,0.016975606,-0.00776656,0.0045263525,0.049743623,-0.043673128,-0.00932202,0.030973693,0.004486307,0.0047529717,0.01582397,-0.009142587,0.0034782626,-0.0018827645
8024,0.0042920685,0.006847615,0.013553128,-0.011009826,0.001136023,-0.0053990646,-0.00028014308,-0.015631273,0.000266651,0.020568376,-0.007712759,0.0072456896,0.036606774,-0.0060265153,0.016274882,0.010631505,-0.016903047,-0.012776808,0.023560084,-0.034748618,-0.007470556,-0.036076773,-0.021591505,-0.019048443,0.021875223,0.013707951,0.08243168,-0.0087831495,0.0030498698,-0.025354607
8025,0.012282651,-0.0038761098,0.005429588,0.016886035,-0.011178794,0.01398781,-0.010616937,0.0031226936,0.008531965,-0.0020007554,-0.016263433,-0.0035475325,0.018466832,-0.017337434,0.0052258647,0.0039690924,0.008340915,-0.012990777,-0.0006643165,0.003853231,-0.024733642,0.016509734,-0.024391254,0.009894099,0.050817896,0.01004466,0.016332883,-0.018712612,-0.012066525,-0.011857974
10034,0.024804091,0.018813258,-0.02195256,0.019478409,0.027960142,0.036802303,0.0076156505,-0.01992178,0.0052828793,-0.004458089,-0.0200496,-0.031572737,0.0066279205,0.010861476,-0.04206704,-0.0060558314,0.0035107688,-0.00029037675,-0.006048678,0.012359883,0.016630705,0.0002753927,-0.018062918,-0.015024255,-0.013531609,0.011171182,-0.012355373,-0.01463421,0.004592737,-0.0041689915
10055,-0.0058481507,0.041108515,0.015868016,-0.015657842,0.009904736,0.005801005,0.03108862,0.006129759,0.010358105,0.0017107943,0.009636147,-0.0023479138,0.008992851,0.013083755,0.0142848315,0.0056083035,0.0065554455,0.029240126,0.022478448,-0.016061805,0.00584731,0.029286651,-0.0033461165,-0.017596686,-0.015121578,0.009236126,0.047843635,0.0097076595,0.009645305,0.0062034596
10056,0.029893974,0.012463999,0.0067430697,0.0056900084,0.006641295,-0.006484637,0.005089573,0.020583788,0.024499113,-0.0012631137,0.008324116,0.011414923,-0.008897894,0.0045581446,0.03470312,-0.0010569156,0.039341375,0.023039544,0.014052164,0.0020000131,-0.012369539,0.0019694238,-0.0015431665,-0.0037592489,-0.0222669,0.0016454997,0.038247954,-0.006383624,-0.00039872655,0.02283114
10057,0.032189652,-0.015963122,-0.014970958,0.026047273,-0.018752122,0.006971322,-0.014236857,-0.014714155,0.0037756888,-0.02271118,-0.00265052,-0.012965292,0.010442644,0.003405682,-0.013890989,0.005734392,-0.012471887,0.021718914,0.015920626,-0.0031467762,0.0033996738,-0.00047852998,-0.019827329,0.023163682,-0.016228028,0.0044275788,-0.012381124,-0.011299939,0.005337192,0.013399792
