,squirrel,zebra,kangaroo,desk,bottle,turtle,bee,chair,sheep,knife,horse,monkey,donkey,elephant,bus,couch,alligator,camel,fish,hammer,scissors,guitar,shoe,cow,cat,penguin,banana,bear,brush,rhinoceros,bird,raccoon,ant,microscope,kite,rabbit,trumpet,umbrella,dog,axe,piano,frog,tiger,leopard,boat,goat,deer,lion,giraffe
7942,0.013883374,0.015076667,0.0004984171,-0.013002547,-0.0100414,0.004788509,0.0069307815,0.013036601,-0.016431948,0.026710117,0.008194526,0.0071072164,0.0197197,0.00095402147,-0.023400048,0.0029539282,0.03796503,0.038086258,0.015413083,0.0060285497,0.05271554,-0.037790656,0.023998007,0.009081115,5.0681334e-05,0.008504336,-0.010833836,0.0068163113,0.041955713,-0.00064102,-0.0036501957,-0.0065745027,0.031625528,-0.011200833,0.029780442,0.019324232,0.023280537,0.013372966,-0.013831665,0.022649452,-0.0004317984,0.028994823,0.02137466,0.0027669433,0.0045460076,-0.012303531,0.017392367,-0.005357606,0.004294638
7966,-0.009945865,-0.012457855,-0.022768525,-0.009265017,-0.013837226,0.0070954715,0.017129757,0.009302323,-0.029812163,-0.0023512533,0.011920481,-0.008298013,0.027407201,0.0059296284,0.009603004,-0.013954488,0.030988032,0.035638284,-0.008726298,0.019989075,0.006809642,-0.031417925,-0.013948004,5.6076795e-05,0.0053130183,-0.007840189,-0.0159964,-0.0024725655,0.042570736,-0.001832632,0.020105086,0.007204797,0.015150453,-0.0119654015,0.024633592,0.0012657554,-0.019052876,0.0073823067,-0.0025142168,0.013269204,0.0014624515,-0.016171927,0.018028816,-0.042561334,0.006105821,-0.007990488,-0.012983124,-0.012059312,0.021910543
7967,-0.019490298,0.0056338906,-0.011739659,0.008400814,0.00526593,-0.015942357,-0.0047365986,0.015622134,0.0057090386,0.011816402,0.005616237,-0.0066115297,-0.011998362,-0.01206955,-0.013645016,0.02957617,0.011644851,-0.0052519552,0.031439938,-0.0065403413,-0.0044966303,0.015141602,0.018552557,0.011293472,-0.0074163433,0.0075607137,0.0026710723,-0.024771987,0.008715252,-0.0034290478,0.008693525,0.011455887,0.015393135,0.0156082,0.02691217,0.013195789,0.03329669,0.0075451005,0.008210976,0.005803127,-0.0024378074,-0.02996026,-0.006722105,0.028336564,0.0018994884,0.00091331574,-0.018786967,0.012348075,0.0033935253
7970,-0.043673128,0.0045263525,-0.00932202,-0.0033853122,-0.009904323,-0.011301584,0.004486307,-0.03510381,0.017447162,0.008097407,-0.0041750427,0.0110587105,0.0013790423,0.014048863,0.0013539348,0.007085782,-0.00776656,0.01582397,0.016975606,-0.013231977,0.029511258,-0.001623497,0.04214341,-0.010251263,-0.0032839582,0.0034782626,0.004971316,-0.008979939,0.016123828,-0.0018827645,-0.009142587,-0.024085114,0.0047529717,0.012808113,-0.016150203,0.008839568,0.015315037,0.00036088168,-0.026504762,-0.0014880825,0.006987294,-0.007434277,0.04104811,0.030973693,-0.007892634,0.0024533842,0.049743623,0.0032115988,-0.026484659
8024,-0.036076773,-0.034748618,-0.021591505,-0.014148054,0.00762847,0.036606774,0.021875223,0.023107307,-0.011009826,0.010114598,0.006847615,-0.0060265153,0.0042920685,-0.0053990646,-0.020734265,-0.0056622922,0.023560084,0.08243168,-0.012776808,0.029060028,0.008139253,-0.015493039,0.0043132007,0.010631505,-0.007712759,0.0030498698,-0.005109996,0.013553128,0.03248855,-0.025354607,-0.0087831495,0.016274882,0.013707951,0.013976652,0.0060785,0.001136023,0.011271089,0.025824966,0.020568376,0.0025404217,0.020624088,-0.015631273,0.000266651,-0.019048443,0.03655355,-0.00028014308,-0.007470556,0.0072456896,-0.016903047
8025,0.016509734,0.003853231,-0.024391254,-0.020393636,-0.014554974,0.018466832,0.050817896,-0.0237849,0.016886035,-0.0040457337,-0.0038761098,-0.017337434,0.012282651,0.01398781,-0.0070793363,0.0058019347,-0.0006643165,0.016332883,-0.012990777,0.005402619,-0.01087666,0.004801597,-0.016760752,0.0039690924,-0.016263433,-0.012066525,0.0019405183,0.005429588,-0.004613806,-0.011857974,-0.018712612,0.0052258647,0.01004466,-0.0035529688,-0.005010912,-0.011178794,0.039096076,0.014526938,-0.0020007554,-0.0075410604,0.014996954,0.0031226936,0.008531965,0.009894099,-0.005674316,-0.010616937,-0.024733642,-0.0035475325,0.008340915
10034,0.0002753927,0.012359883,-0.018062918,-0.03531791,-0.04943202,0.0066279205,-0.013531609,-0.0004414379,0.019478409,-0.008331764,0.018813258,0.010861476,0.024804091,0.036802303,-0.021883503,-0.011047316,-0.006048678,-0.012355373,-0.00029037675,0.006316023,0.03067746,0.0036448464,0.028631546,-0.0060558314,-0.0200496,0.004592737,-0.010139618,-0.02195256,0.0025996075,-0.0041689915,-0.01463421,-0.04206704,0.011171182,-0.008905869,-0.017631637,0.027960142,-0.018426351,0.013914201,-0.004458089,0.017944254,-0.019102274,-0.01992178,0.0052828793,-0.015024255,0.013829959,0.0076156505,0.016630705,-0.031572737,0.0035107688
10055,0.029286651,-0.016061805,-0.0033461165,0.002697721,0.011453352,0.008992851,-0.015121578,0.0033475303,-0.015657842,0.016371315,0.041108515,0.013083755,-0.0058481507,0.005801005,0.00684987,0.007937004,0.022478448,0.047843635,0.029240126,-0.010662895,0.007911234,-0.014534723,0.047196116,0.0056083035,0.009636147,0.009645305,0.010929759,0.015868016,0.077998154,0.0062034596,0.0097076595,0.0142848315,0.009236126,0.010300255,0.014983614,0.009904736,-0.02351778,0.008383076,0.0017107943,0.022229256,0.0041515343,0.006129759,0.010358105,-0.017596686,0.006641088,0.03108862,0.00584731,-0.0023479138,0.0065554455
10056,0.0019694238,0.0020000131,-0.0015431665,-0.011198646,0.028574608,-0.008897894,-0.0222669,-0.01094871,0.0056900084,0.006217685,0.012463999,0.0045581446,0.029893974,-0.006484637,0.013201575,-0.022005796,0.014052164,0.038247954,0.023039544,-0.01014435,0.00087668624,-0.00276686,-0.0050933007,-0.0010569156,0.008324116,-0.00039872655,-0.002342221,0.0067430697,0.050076824,0.02283114,-0.006383624,0.03470312,0.0016454997,0.008650805,-0.023007737,0.006641295,0.015572018,0.0041589453,-0.0012631137,0.018828956,0.011410537,0.020583788,0.024499113,-0.0037592489,-0.021216938,0.005089573,-0.012369539,0.011414923,0.039341375
10057,-0.00047852998,-0.0031467762,-0.019827329,-0.023960212,-0.028366305,0.010442644,-0.016228028,0.002740326,0.026047273,-0.018585641,-0.015963122,0.003405682,0.032189652,0.006971322,-0.004017526,-0.010354373,0.015920626,-0.012381124,0.021718914,-0.014490518,0.03543129,0.011045374,0.034986798,0.005734392,-0.00265052,0.005337192,0.00045864843,-0.014970958,-0.01170991,0.013399792,-0.011299939,-0.013890989,0.0044275788,0.0039195716,-0.022568248,-0.018752122,-0.01751907,-0.01852327,-0.02271118,-0.008538732,0.00018301916,-0.014714155,0.0037756888,0.023163682,-0.0009308325,-0.014236857,0.0033996738,-0.012965292,-0.012471887
10079,-0.005735448,-0.02144003,-0.0044058645,0.016218012,0.019141093,0.032947045,-0.007228958,0.027823128,-0.019090516,0.005415261,0.03036009,0.004308501,-0.0045457855,-0.009090006,-0.030758312,-0.032066137,0.023513496,0.04253241,0.048234332,0.023677373,0.006223785,0.0024270415,0.041495424,-0.011405197,0.036085013,0.0031042083,0.027294623,0.015663538,0.052522402,-0.0123987645,0.010585387,-0.003971242,0.033802275,0.004814651,0.01190064,-0.005479015,0.020110099,0.003584021,0.033127557,0.027475975,0.026084937,-0.0026492972,0.030057758,-0.01456742,0.018146202,-0.012335904,0.038817395,-0.025280053,-0.0083971275
10080,-0.05696109,-0.032721538,-0.05223066,0.00061333337,-0.016773095,0.0076483297,-0.02256193,0.060930684,-0.019696673,0.03852171,0.008505455,-0.010770321,-0.012060478,0.036818687,-0.0011754576,-0.008221451,0.042449992,0.010385542,0.012469505,0.029094419,0.00995968,-0.024214072,0.08007043,0.006229075,0.008437834,0.00490139,0.004357628,0.040814947,0.048452053,-0.01779175,0.002169098,0.03548585,0.023526981,0.0053716735,-0.0072530215,0.0064411294,-0.0016919771,0.038915757,0.0076981466,0.02780945,0.009825406,0.008970348,0.03304944,-0.029078087,0.021161946,-0.008426491,-0.022168053,-0.029219327,0.0017494228
10081,-0.02391178,-0.0017534201,-0.03824731,-0.022819817,0.0060398653,0.0064297062,0.030070813,0.032508336,-0.017771777,-0.0015724009,0.012778661,0.011604115,0.0008123112,0.0119678145,0.0011789128,-0.017517233,0.012386262,0.033175506,0.009290268,0.05946899,0.005439922,-0.02451613,0.008919251,-0.0136128785,0.016266799,0.016402934,0.00025895456,0.014261149,0.013035328,0.0076197456,-0.01594348,-0.009313702,0.010821641,0.014319141,-0.029966703,0.0056371596,-0.024608485,0.030790567,0.016891887,0.009818275,-0.00045075236,-0.045884088,0.025591485,-0.00092951645,0.0033350054,-0.009650755,0.007873254,-0.031580824,0.027503625
10082,0.0018174065,0.030561766,-0.008922095,0.01704066,-0.011120059,0.0056575146,-0.009429175,0.007804493,-0.010862985,-0.019962369,-0.003810725,-0.0052117906,0.011010185,0.008295694,-0.026980028,-0.0009205079,-0.024286484,0.008713706,0.023462815,-0.0111125065,0.012346167,0.009099788,0.0045267143,0.003372213,0.01923632,0.0055066273,-0.0067659547,-0.009314624,0.010018636,-0.025001198,-0.041409153,0.016436584,-0.022401376,-0.0012987048,-0.006211218,0.0020767483,-0.015755588,0.0025834488,0.0076874048,-0.023593908,0.011907016,0.015633041,0.0016732528,0.018184936,0.002103926,0.024937049,-0.012508341,-0.031236956,-0.027455823
10083,0.0032875612,-0.003068803,0.01761585,-0.020673573,0.011046857,0.016262671,-0.007906669,0.010425224,-0.0090602925,0.031218,0.011695194,0.018102568,-0.010110061,0.009705879,0.012713508,-0.0098904865,0.014646162,0.016268613,0.020545213,0.025960708,0.0074462746,0.0085213855,0.038473688,0.017002704,-0.004971852,-0.0101257665,0.0012723835,0.016867379,-0.011972535,0.019842228,0.03161224,0.019587869,-0.013484956,-0.0026419451,0.0029798292,0.018889284,-0.01003923,0.03255557,0.0019710518,-0.0022250125,0.011838262,-0.0061893105,-0.015943892,0.016862823,0.022312842,0.027178297,0.01907447,0.009882839,0.014044236
10107,-0.020216843,-0.01575602,-0.014148016,0.033013586,-0.0041858056,-0.018379187,-0.010876156,0.007616946,-0.003939834,0.0020020318,0.002660562,-0.007970045,0.019442143,0.014952421,-0.026527504,-0.028511545,0.011682461,0.028664747,-0.015776927,-0.012150694,-0.014371251,0.019547274,0.042813282,-0.0036147423,0.001391835,0.03415436,-0.020256888,0.0014429266,0.014659372,-0.004458755,-0.010716016,-0.0026955055,-0.01099503,-0.0040783007,0.004794936,-0.00021844481,0.022784924,-0.0023141303,-0.029933492,-0.008883669,0.0019613926,-0.046211053,-0.009637021,-0.010368307,0.032164235,-0.016319266,-0.0027026236,-0.009973567,-0.0049260906
10108,-0.023463257,-0.005722647,-0.018168887,-0.015383496,-0.019197082,0.01867827,-0.02411387,-0.012641899,0.0034366825,-0.024006784,0.009561503,-0.0046188547,-0.0035689482,-0.027906531,-0.016771762,-0.025348619,-0.008016403,-0.018202763,-0.005055647,-0.044524025,0.010250336,0.0074093784,-0.016338646,-0.03177668,-0.026916638,0.0073251748,-0.025834234,-0.0131575875,-0.02751685,-0.024116047,-0.016561415,-0.0050606527,-0.01177423,-0.046687823,-0.008740914,-0.017097114,0.0039036237,0.010911013,-0.028125523,-0.0067393244,-0.011787715,-0.017391115,-0.024477512,-0.024314605,-0.011188517,0.010513164,0.023832938,0.0013212673,-0.017854255
10109,-0.018385202,-0.043383043,-0.02433435,-0.012895133,-0.004004025,0.012544374,0.0020756496,-0.0012087781,-0.023867974,0.009380837,-0.00894967,-0.023084702,-0.0034606836,0.024196064,-0.033923447,-0.009034147,0.023670316,0.06719223,0.0022793852,0.01914761,0.025461571,-0.013316337,0.013338848,0.0073676016,0.033547442,-0.015449013,-0.0014888239,-0.012102419,0.04755016,-0.013410479,-0.007328792,0.008753743,-0.011451751,-0.026708582,-0.0038116502,0.005134094,0.0144933015,0.007881002,-0.0058038533,0.019959003,0.013420192,-0.006258465,-0.0009479693,-0.026387988,0.010900098,-0.008245176,0.018154686,-0.011293657,-0.0058872886
10110,-0.009503788,-0.0042391405,0.018201223,-0.0048219585,-0.017687542,-0.012470238,0.028317058,-0.0030091656,0.0012827521,0.008691645,0.002889567,-0.0025054778,0.030200578,-0.034918334,-0.022833155,0.013275463,-0.024908766,-0.0054529184,0.016547712,0.04650775,0.013177731,-0.0032957497,0.02741889,0.023647927,0.0030486218,0.013220745,0.008758447,-0.043566253,0.0021980342,-0.016771473,-0.013482989,0.023943624,0.010691489,-0.0005459183,-0.030093059,0.014957811,-0.00058825937,0.0346094,-0.019095866,0.030733949,-0.0037835601,-0.0007828828,0.010610708,0.023706758,-0.018889373,0.009774503,-0.0143335415,0.023294328,-0.019784495
10112,0.035274647,-0.02060511,-0.028063312,-0.0023368297,0.0017374721,-0.002696067,0.00019137778,-0.013576656,-0.024133166,-0.003412559,-0.0024741704,0.009478959,0.016415378,0.03898451,0.006448228,-0.0071006753,0.019529022,0.022089692,0.008871316,-0.010080955,0.009958895,-0.0050150016,0.0017133201,-0.0005708554,-0.00035736235,0.007161314,-0.0006148273,0.012551687,0.01881233,-0.00786179,0.0028973792,0.007024782,0.030150302,-0.0012610893,-0.016806094,0.0044476637,0.032193482,-0.004118616,0.028285062,-0.004263165,-0.019569559,-0.002290781,-0.018257925,0.01546073,-0.0031032972,0.0060450714,0.013577838,0.007622384,0.009176008
