,boat,penguin,cat,ladder,bus,horse,apple,dolphin,table,bear,axe,elephant,bell,pencil,spoon,frog,tiger,guitar,turtle,rhinoceros,cow,bee,monkey,spider,banana,rabbit,shoe,tree,trumpet,cactus,kangaroo,chair,dog,giraffe,wolf,lion,mushroom,tie,computer,whale,dress,hammer,scissors,ant,butterfly,popcorn,rifle,microscope,sheep,kite,knife,motorcycle,fish,piano,scorpion,umbrella,couch,brush,bottle,cup
14581,0.0028339897,0.039096855,-0.004089621,0.034038745,0.0242889,0.016768752,0.025144124,0.015270879,0.036787365,-0.0016266865,0.060485546,0.009277778,0.041975003,-0.007345112,0.0015234273,0.05357763,0.017672192,0.044033736,0.013650115,0.036468998,0.015507363,0.021377236,0.038266808,0.067915864,0.06492396,-0.009106645,0.024728037,-0.009329292,0.02374763,0.010583796,0.03478061,-0.01633707,0.041045204,0.006042425,0.065482415,-0.009742823,0.067738,0.0036162138,-0.034576576,0.0058262893,0.025008103,0.020793147,0.04725088,0.04084477,0.021667788,0.027910074,0.10626135,0.024810567,0.018491266,-0.033898532,0.04254596,0.010528338,-0.0027809155,0.0070879986,0.0037622221,0.002564489,-0.0008613144,0.029882014,-0.012320911,0.04251119
14582,-0.0024755702,0.033590816,-0.012464978,0.021515623,0.027459463,0.017300336,0.037103,0.019853877,0.03416503,-0.0012360085,0.050482746,0.0130751645,0.056638688,0.008556104,0.023835331,0.04718338,0.022275358,0.032340314,0.02480477,0.053789962,0.018670436,-0.011735432,0.020661365,0.009507257,0.05516024,0.013968182,0.008320455,-0.025112426,0.013458499,0.014169811,0.009732959,0.008475409,0.012147927,0.0048720287,0.030353377,-0.043740753,0.07448472,0.025591893,0.007073647,0.029479608,0.032678798,0.0030713107,0.013268235,0.025160274,0.013898763,0.012867396,0.05539163,0.026734188,0.0032416536,-0.026730731,0.017656473,-0.0068689412,-0.002430341,0.019248841,0.015556234,-0.005981928,-0.001521688,0.029002838,-0.015296825,0.030641051
14626,0.0132261915,0.033966802,0.0065438836,0.013256985,0.0031518086,0.01232336,0.0109715015,0.036711115,0.044704396,0.011038327,0.040249985,-0.000556161,0.038327962,0.025231184,0.016507005,0.054939922,0.02957909,0.014652166,0.031953797,0.056716044,0.019043876,-0.0008140672,0.035107687,0.02322741,0.0625221,-0.0253925,0.053767998,0.019169584,0.013006054,-0.004075466,0.027933925,0.012301021,0.010197042,-0.014289086,0.03458457,0.0021945213,0.048301104,0.009841888,-0.009778757,0.020549797,0.028653981,0.041342955,0.018596346,0.03638782,0.009075948,-0.012617365,0.058563024,0.036718596,0.020723654,-0.010812762,0.036553636,0.013138395,0.022877758,0.020940343,0.010179053,-0.00890174,-0.0058088857,0.028787816,-0.01073756,0.039243165
14627,0.02134307,0.041064985,0.01101292,0.010697324,-0.012219492,0.023293654,-0.0059553846,0.025868343,0.042822372,-0.01072364,0.041862685,0.017067043,0.056982473,0.0011285617,0.0055308845,0.027219588,0.039823104,0.018095141,0.011486404,0.027979745,-0.0022454564,0.0032023329,0.011654762,0.0283053,0.05626866,-0.0013025204,0.025751641,-0.017766146,0.038282577,0.011888105,0.027282702,-0.0062563685,0.022825152,-0.009407976,0.03356076,0.00025742967,0.060064945,0.012871257,-0.023402356,0.031903293,0.029035376,0.038546238,0.013430321,0.026577907,0.0070137833,-0.0039942185,0.0674103,0.029878939,0.011393945,-0.0015095869,0.03882762,-0.0096831415,0.0013335278,0.030935988,0.014692348,-0.0028561528,0.023173997,0.03578603,-0.020716805,0.038329024
17171,0.0008051217,-0.0027574704,0.029264456,0.005074613,0.018480806,0.015481892,0.0024765248,-0.017306866,-0.001974811,0.007366305,0.04548155,0.015659252,0.04992986,0.045251694,0.006687353,0.03758021,-0.011524322,0.06182946,0.025796475,0.019629765,0.017907994,0.0046572923,0.0164065,0.027107278,0.04952119,0.0003430356,0.036601357,-0.042620227,0.033095773,0.020111304,0.029892964,-0.003957407,0.02319743,-0.007399103,0.038974877,-0.004838449,0.04942964,0.027638689,0.012109335,-0.009655825,0.04287274,0.009394251,0.02412995,0.027221398,0.009345526,0.014177437,0.048160512,0.032224048,-0.027606003,0.006337568,0.02500728,0.00889092,0.023442075,0.0010384669,0.037519112,0.0004913816,0.023935929,0.016580204,0.011288899,0.011254132
17214,0.0026111023,-0.0014561862,-0.0064498135,0.009942272,0.0018988218,-0.0017558463,-0.014902432,-0.00043370607,-0.01674923,-0.017210161,0.018204717,-0.021932201,0.01764675,0.013500366,-0.0018239565,-0.02129881,0.008376082,0.021964835,-0.0280893,-0.0054699033,0.00020158105,-0.0007655577,-0.010125758,-0.0009956273,0.015150021,-0.013740453,0.0034055617,-0.0005252675,0.028730797,-0.0018885086,-0.012318051,0.014759809,-0.019335834,-0.0061182943,-0.0017770338,-0.009525947,0.0037712923,-0.008166275,0.003883998,0.03283138,0.0076985545,-0.012324425,0.03689279,-0.0066074333,-0.005617354,-0.003690827,-0.0041796067,0.004263959,-0.002952478,-0.009509544,0.026641613,0.029076248,0.027682932,-0.010346179,0.0055278577,-0.010000936,0.01306193,-0.005043727,-0.0023962918,0.0014165876
17215,0.00012629821,-0.007188195,0.038134,0.042110134,0.0184751,-0.00088547374,-0.0001403117,-0.042236388,-0.020562058,-0.00969622,0.044948697,0.010213185,0.016443435,0.017484734,0.009541067,0.03691462,0.0015846702,0.028090807,0.022307113,0.0006477305,0.011238796,-0.0012709405,0.026366264,0.009693804,0.027857944,-0.00435414,0.011696458,-0.030917196,0.020826658,0.008695897,0.01219828,0.0063081314,0.016674599,-0.028638646,-0.005081311,-0.013224621,0.028916314,-0.00030642687,0.010682321,-0.0028701166,0.028671734,0.017907063,0.023420557,-0.009659064,0.009688719,0.00908311,0.03351497,0.0074863085,0.0155818565,-0.011279933,0.0038226235,0.010287861,0.013068966,-0.025554553,-0.0005447355,-0.038773756,0.011102516,-0.012632939,-0.0030825194,0.018079763
17257,0.0143292025,0.004330508,0.0012838483,0.012755427,0.023275837,0.00082271703,-0.0029998552,0.003038984,-0.012105021,-0.009722392,0.034142867,0.033104185,0.0054652975,-0.009196863,-0.006598382,0.015621197,-0.011930537,0.03354901,0.021483168,0.021172732,0.011355228,0.0033241485,0.011232365,0.015145652,0.015835501,-0.010413373,0.010918279,-0.018361097,-0.01944826,0.027199844,0.0022865336,0.014135383,0.022181429,-0.014476971,0.0065739024,0.03864037,0.0019773568,0.0167422,-0.009132955,0.010193314,-0.0014114954,-0.0023146782,0.0048520337,0.013962585,-0.0095022535,-0.014554623,0.014137176,-0.0050835465,0.021447638,-0.028990306,0.022606576,0.017159471,0.01532726,-0.0165957,0.00771858,-0.0040009543,-0.023916101,0.031147292,-0.00094127964,0.014570951
17259,-0.011793097,0.030766686,-0.03661023,-0.009474535,0.008476149,0.014564144,-0.02281048,-0.015717225,0.0070169293,0.027604962,-0.01454328,-0.011626315,-0.011414711,0.0024926737,-0.018480536,-0.011894093,0.018165544,-0.015084137,-0.0127327265,0.005644115,-0.010982568,0.0063144527,-0.027614452,0.026715742,0.022471994,-0.016589517,0.00644141,-0.016488515,-0.0011585038,-0.008947908,-0.0063048224,-0.01976875,0.012647368,0.012857479,-0.0031004641,-0.013121036,-0.043838073,-0.021494718,-0.020716684,-0.025012538,0.016569383,-0.023656601,-0.019758856,-0.025754297,-0.005039279,-0.025410226,-0.01987688,-0.001488125,0.0029850209,-0.006336307,0.0065088547,0.01649403,0.011359263,0.0011686279,0.006039405,0.022267275,-0.034580413,0.023431377,-0.00023530074,0.006283602
17301,-0.024941305,-0.040606156,0.03216752,0.0052811652,0.0034364352,-0.017046439,-0.007159161,-0.0043401415,-0.01446714,-0.05067767,-0.012779054,0.027335724,0.0005939808,-0.027404869,-0.0023575698,-0.030735387,0.009743027,0.015333456,0.022449205,-0.004689696,-0.027702415,-0.022227608,-0.0081048105,-0.0040589995,-0.012554519,-0.027581096,-0.024189359,0.028343106,0.006666111,0.035149865,-0.028381674,-0.0073253657,0.0072621163,-0.032737833,-0.009455497,-0.009357223,-0.0024657503,-0.04790837,-0.015112861,-0.018914519,-0.0044459687,-0.045176942,-0.011490024,-0.019827472,-0.024486572,-0.011329965,-0.021177376,-0.01922599,-0.0032115479,0.022979237,-0.0133178495,0.020747678,-0.014903854,0.004951618,0.008635494,0.009807833,-0.019672362,-0.008282642,-0.005853595,0.009124712
